PING 10.0.0.1 (10.0.0.1) 1000(1028) bytes of data.
1008 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=151 ms
1008 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=165 ms
1008 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=177 ms
1008 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=196 ms
1008 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=208 ms
1008 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=222 ms
1008 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=240 ms
1008 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=254 ms
1008 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=278 ms
1008 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=301 ms
1008 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=313 ms
1008 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=327 ms
1008 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=343 ms
1008 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=356 ms
1008 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=371 ms
1008 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=386 ms
1008 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=403 ms
1008 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=424 ms
1008 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=445 ms
1008 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=457 ms
1008 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=479 ms
1008 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=499 ms
1008 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=513 ms
1008 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=528 ms
1008 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=554 ms
1008 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=563 ms
1008 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=572 ms
1008 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=582 ms
1008 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=585 ms
1008 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=589 ms
1008 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=593 ms
1008 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=599 ms
1008 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=606 ms
1008 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=610 ms
1008 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=617 ms
1008 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=622 ms
1008 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=626 ms
1008 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=633 ms
1008 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=640 ms
1008 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=645 ms
1008 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=647 ms
1008 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=653 ms
1008 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=664 ms
1008 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=665 ms
1008 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=669 ms
1008 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=676 ms
1008 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=680 ms
1008 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=685 ms
1008 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=693 ms
1008 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=684 ms
1008 bytes from 10.0.0.1: icmp_seq=51 ttl=64 time=683 ms
1008 bytes from 10.0.0.1: icmp_seq=52 ttl=64 time=689 ms
1008 bytes from 10.0.0.1: icmp_seq=53 ttl=64 time=697 ms
1008 bytes from 10.0.0.1: icmp_seq=54 ttl=64 time=704 ms
1008 bytes from 10.0.0.1: icmp_seq=55 ttl=64 time=714 ms
1008 bytes from 10.0.0.1: icmp_seq=56 ttl=64 time=713 ms
1008 bytes from 10.0.0.1: icmp_seq=57 ttl=64 time=724 ms
1008 bytes from 10.0.0.1: icmp_seq=58 ttl=64 time=722 ms
1008 bytes from 10.0.0.1: icmp_seq=59 ttl=64 time=720 ms
1008 bytes from 10.0.0.1: icmp_seq=60 ttl=64 time=715 ms
1008 bytes from 10.0.0.1: icmp_seq=61 ttl=64 time=730 ms
1008 bytes from 10.0.0.1: icmp_seq=62 ttl=64 time=733 ms
1008 bytes from 10.0.0.1: icmp_seq=63 ttl=64 time=739 ms
1008 bytes from 10.0.0.1: icmp_seq=64 ttl=64 time=748 ms
1008 bytes from 10.0.0.1: icmp_seq=65 ttl=64 time=755 ms
1008 bytes from 10.0.0.1: icmp_seq=66 ttl=64 time=771 ms
1008 bytes from 10.0.0.1: icmp_seq=67 ttl=64 time=777 ms
1008 bytes from 10.0.0.1: icmp_seq=68 ttl=64 time=786 ms
1008 bytes from 10.0.0.1: icmp_seq=69 ttl=64 time=792 ms
1008 bytes from 10.0.0.1: icmp_seq=70 ttl=64 time=800 ms
1008 bytes from 10.0.0.1: icmp_seq=71 ttl=64 time=800 ms
1008 bytes from 10.0.0.1: icmp_seq=72 ttl=64 time=809 ms
1008 bytes from 10.0.0.1: icmp_seq=73 ttl=64 time=818 ms
1008 bytes from 10.0.0.1: icmp_seq=74 ttl=64 time=828 ms
1008 bytes from 10.0.0.1: icmp_seq=75 ttl=64 time=839 ms
1008 bytes from 10.0.0.1: icmp_seq=76 ttl=64 time=845 ms
1008 bytes from 10.0.0.1: icmp_seq=77 ttl=64 time=848 ms
1008 bytes from 10.0.0.1: icmp_seq=78 ttl=64 time=853 ms
1008 bytes from 10.0.0.1: icmp_seq=79 ttl=64 time=862 ms
1008 bytes from 10.0.0.1: icmp_seq=80 ttl=64 time=865 ms
1008 bytes from 10.0.0.1: icmp_seq=81 ttl=64 time=877 ms
1008 bytes from 10.0.0.1: icmp_seq=82 ttl=64 time=875 ms
1008 bytes from 10.0.0.1: icmp_seq=83 ttl=64 time=883 ms
1008 bytes from 10.0.0.1: icmp_seq=84 ttl=64 time=884 ms
1008 bytes from 10.0.0.1: icmp_seq=85 ttl=64 time=893 ms
1008 bytes from 10.0.0.1: icmp_seq=86 ttl=64 time=904 ms
1008 bytes from 10.0.0.1: icmp_seq=87 ttl=64 time=916 ms
1008 bytes from 10.0.0.1: icmp_seq=88 ttl=64 time=922 ms
1008 bytes from 10.0.0.1: icmp_seq=89 ttl=64 time=937 ms
1008 bytes from 10.0.0.1: icmp_seq=90 ttl=64 time=944 ms
1008 bytes from 10.0.0.1: icmp_seq=91 ttl=64 time=948 ms
1008 bytes from 10.0.0.1: icmp_seq=92 ttl=64 time=949 ms
1008 bytes from 10.0.0.1: icmp_seq=93 ttl=64 time=952 ms
1008 bytes from 10.0.0.1: icmp_seq=94 ttl=64 time=966 ms
1008 bytes from 10.0.0.1: icmp_seq=95 ttl=64 time=972 ms
1008 bytes from 10.0.0.1: icmp_seq=96 ttl=64 time=984 ms
1008 bytes from 10.0.0.1: icmp_seq=97 ttl=64 time=986 ms
1008 bytes from 10.0.0.1: icmp_seq=98 ttl=64 time=999 ms
1008 bytes from 10.0.0.1: icmp_seq=99 ttl=64 time=1009 ms
1008 bytes from 10.0.0.1: icmp_seq=100 ttl=64 time=1017 ms
1008 bytes from 10.0.0.1: icmp_seq=101 ttl=64 time=1026 ms
1008 bytes from 10.0.0.1: icmp_seq=102 ttl=64 time=1038 ms
1008 bytes from 10.0.0.1: icmp_seq=103 ttl=64 time=1046 ms
1008 bytes from 10.0.0.1: icmp_seq=104 ttl=64 time=1058 ms
1008 bytes from 10.0.0.1: icmp_seq=105 ttl=64 time=1063 ms
1008 bytes from 10.0.0.1: icmp_seq=106 ttl=64 time=1072 ms
1008 bytes from 10.0.0.1: icmp_seq=107 ttl=64 time=1083 ms
1008 bytes from 10.0.0.1: icmp_seq=108 ttl=64 time=1088 ms
1008 bytes from 10.0.0.1: icmp_seq=109 ttl=64 time=1114 ms
1008 bytes from 10.0.0.1: icmp_seq=110 ttl=64 time=1126 ms
1008 bytes from 10.0.0.1: icmp_seq=111 ttl=64 time=1133 ms
1008 bytes from 10.0.0.1: icmp_seq=112 ttl=64 time=1129 ms
1008 bytes from 10.0.0.1: icmp_seq=113 ttl=64 time=1142 ms
1008 bytes from 10.0.0.1: icmp_seq=114 ttl=64 time=1154 ms
1008 bytes from 10.0.0.1: icmp_seq=115 ttl=64 time=1154 ms
1008 bytes from 10.0.0.1: icmp_seq=116 ttl=64 time=1166 ms
1008 bytes from 10.0.0.1: icmp_seq=117 ttl=64 time=1179 ms
1008 bytes from 10.0.0.1: icmp_seq=118 ttl=64 time=1186 ms
1008 bytes from 10.0.0.1: icmp_seq=119 ttl=64 time=1191 ms
1008 bytes from 10.0.0.1: icmp_seq=120 ttl=64 time=1195 ms
1008 bytes from 10.0.0.1: icmp_seq=121 ttl=64 time=1205 ms
1008 bytes from 10.0.0.1: icmp_seq=122 ttl=64 time=1214 ms
1008 bytes from 10.0.0.1: icmp_seq=123 ttl=64 time=1216 ms
1008 bytes from 10.0.0.1: icmp_seq=124 ttl=64 time=1213 ms
1008 bytes from 10.0.0.1: icmp_seq=125 ttl=64 time=1220 ms
1008 bytes from 10.0.0.1: icmp_seq=126 ttl=64 time=1233 ms
1008 bytes from 10.0.0.1: icmp_seq=127 ttl=64 time=1235 ms
1008 bytes from 10.0.0.1: icmp_seq=128 ttl=64 time=1238 ms
1008 bytes from 10.0.0.1: icmp_seq=129 ttl=64 time=1250 ms
1008 bytes from 10.0.0.1: icmp_seq=130 ttl=64 time=1260 ms
1008 bytes from 10.0.0.1: icmp_seq=131 ttl=64 time=1276 ms
1008 bytes from 10.0.0.1: icmp_seq=132 ttl=64 time=1287 ms
1008 bytes from 10.0.0.1: icmp_seq=133 ttl=64 time=1301 ms
1008 bytes from 10.0.0.1: icmp_seq=134 ttl=64 time=1307 ms
1008 bytes from 10.0.0.1: icmp_seq=135 ttl=64 time=1315 ms
1008 bytes from 10.0.0.1: icmp_seq=136 ttl=64 time=1325 ms
1008 bytes from 10.0.0.1: icmp_seq=137 ttl=64 time=1361 ms
1008 bytes from 10.0.0.1: icmp_seq=138 ttl=64 time=1363 ms
1008 bytes from 10.0.0.1: icmp_seq=139 ttl=64 time=1373 ms
1008 bytes from 10.0.0.1: icmp_seq=140 ttl=64 time=1402 ms
1008 bytes from 10.0.0.1: icmp_seq=141 ttl=64 time=1432 ms
1008 bytes from 10.0.0.1: icmp_seq=142 ttl=64 time=1480 ms
1008 bytes from 10.0.0.1: icmp_seq=143 ttl=64 time=1504 ms
1008 bytes from 10.0.0.1: icmp_seq=144 ttl=64 time=1524 ms
1008 bytes from 10.0.0.1: icmp_seq=145 ttl=64 time=1531 ms
1008 bytes from 10.0.0.1: icmp_seq=146 ttl=64 time=1534 ms
1008 bytes from 10.0.0.1: icmp_seq=147 ttl=64 time=1545 ms
1008 bytes from 10.0.0.1: icmp_seq=148 ttl=64 time=1545 ms
1008 bytes from 10.0.0.1: icmp_seq=149 ttl=64 time=1551 ms
1008 bytes from 10.0.0.1: icmp_seq=150 ttl=64 time=1554 ms
1008 bytes from 10.0.0.1: icmp_seq=151 ttl=64 time=1559 ms
1008 bytes from 10.0.0.1: icmp_seq=152 ttl=64 time=1561 ms
