PING 10.0.0.4 (10.0.0.4) 1000(1028) bytes of data.
1008 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=2019 ms
1008 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=2043 ms
1008 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=2032 ms
1008 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=2039 ms
1008 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=2038 ms
1008 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=2038 ms
1008 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=2057 ms
1008 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=2065 ms
1008 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=2081 ms
1008 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=2091 ms
1008 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=2109 ms
1008 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=2101 ms
1008 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=2111 ms
1008 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=2137 ms
1008 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=2130 ms
1008 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=2118 ms
1008 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=2120 ms
1008 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=2122 ms
1008 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=2117 ms
1008 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=2119 ms
1008 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=2119 ms
1008 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=2118 ms
1008 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=2122 ms
1008 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=2119 ms
1008 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=2122 ms
1008 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=2130 ms
1008 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=2129 ms
1008 bytes from 10.0.0.4: icmp_seq=36 ttl=64 time=2124 ms
1008 bytes from 10.0.0.4: icmp_seq=37 ttl=64 time=2117 ms
1008 bytes from 10.0.0.4: icmp_seq=38 ttl=64 time=2117 ms
1008 bytes from 10.0.0.4: icmp_seq=39 ttl=64 time=2108 ms
1008 bytes from 10.0.0.4: icmp_seq=40 ttl=64 time=2113 ms
1008 bytes from 10.0.0.4: icmp_seq=42 ttl=64 time=2107 ms
1008 bytes from 10.0.0.4: icmp_seq=43 ttl=64 time=2099 ms
1008 bytes from 10.0.0.4: icmp_seq=44 ttl=64 time=2098 ms
1008 bytes from 10.0.0.4: icmp_seq=45 ttl=64 time=2102 ms
1008 bytes from 10.0.0.4: icmp_seq=46 ttl=64 time=2100 ms
1008 bytes from 10.0.0.4: icmp_seq=47 ttl=64 time=2121 ms
1008 bytes from 10.0.0.4: icmp_seq=48 ttl=64 time=2111 ms
1008 bytes from 10.0.0.4: icmp_seq=49 ttl=64 time=2110 ms
1008 bytes from 10.0.0.4: icmp_seq=51 ttl=64 time=2068 ms
1008 bytes from 10.0.0.4: icmp_seq=52 ttl=64 time=2067 ms
1008 bytes from 10.0.0.4: icmp_seq=53 ttl=64 time=2064 ms
1008 bytes from 10.0.0.4: icmp_seq=54 ttl=64 time=2064 ms
1008 bytes from 10.0.0.4: icmp_seq=55 ttl=64 time=2058 ms
1008 bytes from 10.0.0.4: icmp_seq=57 ttl=64 time=2052 ms
1008 bytes from 10.0.0.4: icmp_seq=60 ttl=64 time=2041 ms
1008 bytes from 10.0.0.4: icmp_seq=63 ttl=64 time=2034 ms
1008 bytes from 10.0.0.4: icmp_seq=66 ttl=64 time=2023 ms
