PING 10.0.0.10 (10.0.0.10) 1000(1028) bytes of data.
1008 bytes from 10.0.0.10: icmp_seq=1 ttl=64 time=2018 ms
1008 bytes from 10.0.0.10: icmp_seq=2 ttl=64 time=2008 ms
1008 bytes from 10.0.0.10: icmp_seq=4 ttl=64 time=2015 ms
1008 bytes from 10.0.0.10: icmp_seq=5 ttl=64 time=2031 ms
1008 bytes from 10.0.0.10: icmp_seq=6 ttl=64 time=2039 ms
1008 bytes from 10.0.0.10: icmp_seq=7 ttl=64 time=2039 ms
1008 bytes from 10.0.0.10: icmp_seq=8 ttl=64 time=2045 ms
1008 bytes from 10.0.0.10: icmp_seq=9 ttl=64 time=2064 ms
1008 bytes from 10.0.0.10: icmp_seq=10 ttl=64 time=2076 ms
1008 bytes from 10.0.0.10: icmp_seq=11 ttl=64 time=2079 ms
1008 bytes from 10.0.0.10: icmp_seq=12 ttl=64 time=2083 ms
1008 bytes from 10.0.0.10: icmp_seq=13 ttl=64 time=2088 ms
1008 bytes from 10.0.0.10: icmp_seq=14 ttl=64 time=2098 ms
1008 bytes from 10.0.0.10: icmp_seq=15 ttl=64 time=2121 ms
1008 bytes from 10.0.0.10: icmp_seq=16 ttl=64 time=2129 ms
1008 bytes from 10.0.0.10: icmp_seq=17 ttl=64 time=2154 ms
1008 bytes from 10.0.0.10: icmp_seq=18 ttl=64 time=2171 ms
1008 bytes from 10.0.0.10: icmp_seq=19 ttl=64 time=2189 ms
1008 bytes from 10.0.0.10: icmp_seq=20 ttl=64 time=2192 ms
1008 bytes from 10.0.0.10: icmp_seq=21 ttl=64 time=2196 ms
1008 bytes from 10.0.0.10: icmp_seq=22 ttl=64 time=2205 ms
1008 bytes from 10.0.0.10: icmp_seq=23 ttl=64 time=2192 ms
1008 bytes from 10.0.0.10: icmp_seq=24 ttl=64 time=2191 ms
1008 bytes from 10.0.0.10: icmp_seq=25 ttl=64 time=2201 ms
1008 bytes from 10.0.0.10: icmp_seq=26 ttl=64 time=2200 ms
1008 bytes from 10.0.0.10: icmp_seq=27 ttl=64 time=2223 ms
1008 bytes from 10.0.0.10: icmp_seq=28 ttl=64 time=2224 ms
1008 bytes from 10.0.0.10: icmp_seq=29 ttl=64 time=2232 ms
1008 bytes from 10.0.0.10: icmp_seq=30 ttl=64 time=2234 ms
1008 bytes from 10.0.0.10: icmp_seq=31 ttl=64 time=2236 ms
1008 bytes from 10.0.0.10: icmp_seq=32 ttl=64 time=2245 ms
1008 bytes from 10.0.0.10: icmp_seq=33 ttl=64 time=2247 ms
1008 bytes from 10.0.0.10: icmp_seq=34 ttl=64 time=2253 ms
1008 bytes from 10.0.0.10: icmp_seq=35 ttl=64 time=2249 ms
1008 bytes from 10.0.0.10: icmp_seq=36 ttl=64 time=2253 ms
1008 bytes from 10.0.0.10: icmp_seq=37 ttl=64 time=2217 ms
1008 bytes from 10.0.0.10: icmp_seq=38 ttl=64 time=2220 ms
1008 bytes from 10.0.0.10: icmp_seq=39 ttl=64 time=2222 ms
1008 bytes from 10.0.0.10: icmp_seq=40 ttl=64 time=2230 ms
1008 bytes from 10.0.0.10: icmp_seq=41 ttl=64 time=2231 ms
1008 bytes from 10.0.0.10: icmp_seq=42 ttl=64 time=2235 ms
1008 bytes from 10.0.0.10: icmp_seq=43 ttl=64 time=2241 ms
1008 bytes from 10.0.0.10: icmp_seq=44 ttl=64 time=2248 ms
1008 bytes from 10.0.0.10: icmp_seq=45 ttl=64 time=2255 ms
1008 bytes from 10.0.0.10: icmp_seq=46 ttl=64 time=2263 ms
1008 bytes from 10.0.0.10: icmp_seq=47 ttl=64 time=2267 ms
1008 bytes from 10.0.0.10: icmp_seq=48 ttl=64 time=2272 ms
1008 bytes from 10.0.0.10: icmp_seq=49 ttl=64 time=2269 ms
1008 bytes from 10.0.0.10: icmp_seq=50 ttl=64 time=2272 ms
1008 bytes from 10.0.0.10: icmp_seq=52 ttl=64 time=2265 ms
1008 bytes from 10.0.0.10: icmp_seq=54 ttl=64 time=2270 ms
1008 bytes from 10.0.0.10: icmp_seq=56 ttl=64 time=2267 ms
1008 bytes from 10.0.0.10: icmp_seq=57 ttl=64 time=2267 ms
1008 bytes from 10.0.0.10: icmp_seq=58 ttl=64 time=2271 ms
1008 bytes from 10.0.0.10: icmp_seq=59 ttl=64 time=2271 ms
1008 bytes from 10.0.0.10: icmp_seq=61 ttl=64 time=2264 ms
1008 bytes from 10.0.0.10: icmp_seq=62 ttl=64 time=2266 ms
1008 bytes from 10.0.0.10: icmp_seq=63 ttl=64 time=2270 ms
1008 bytes from 10.0.0.10: icmp_seq=64 ttl=64 time=2269 ms
1008 bytes from 10.0.0.10: icmp_seq=65 ttl=64 time=2266 ms
1008 bytes from 10.0.0.10: icmp_seq=66 ttl=64 time=2279 ms
1008 bytes from 10.0.0.10: icmp_seq=67 ttl=64 time=2283 ms
1008 bytes from 10.0.0.10: icmp_seq=68 ttl=64 time=2281 ms
1008 bytes from 10.0.0.10: icmp_seq=69 ttl=64 time=2282 ms
1008 bytes from 10.0.0.10: icmp_seq=70 ttl=64 time=2284 ms
1008 bytes from 10.0.0.10: icmp_seq=71 ttl=64 time=2278 ms
1008 bytes from 10.0.0.10: icmp_seq=72 ttl=64 time=2278 ms
1008 bytes from 10.0.0.10: icmp_seq=73 ttl=64 time=2277 ms
1008 bytes from 10.0.0.10: icmp_seq=74 ttl=64 time=2278 ms
1008 bytes from 10.0.0.10: icmp_seq=75 ttl=64 time=2344 ms
1008 bytes from 10.0.0.10: icmp_seq=77 ttl=64 time=2327 ms
1008 bytes from 10.0.0.10: icmp_seq=78 ttl=64 time=2323 ms
1008 bytes from 10.0.0.10: icmp_seq=79 ttl=64 time=2320 ms
1008 bytes from 10.0.0.10: icmp_seq=80 ttl=64 time=2321 ms
1008 bytes from 10.0.0.10: icmp_seq=81 ttl=64 time=2314 ms
1008 bytes from 10.0.0.10: icmp_seq=82 ttl=64 time=2311 ms
1008 bytes from 10.0.0.10: icmp_seq=83 ttl=64 time=2310 ms
1008 bytes from 10.0.0.10: icmp_seq=84 ttl=64 time=2306 ms
1008 bytes from 10.0.0.10: icmp_seq=85 ttl=64 time=2304 ms
1008 bytes from 10.0.0.10: icmp_seq=86 ttl=64 time=2302 ms
1008 bytes from 10.0.0.10: icmp_seq=87 ttl=64 time=2298 ms
1008 bytes from 10.0.0.10: icmp_seq=88 ttl=64 time=2292 ms
1008 bytes from 10.0.0.10: icmp_seq=89 ttl=64 time=2293 ms
1008 bytes from 10.0.0.10: icmp_seq=90 ttl=64 time=2292 ms
1008 bytes from 10.0.0.10: icmp_seq=91 ttl=64 time=2293 ms
1008 bytes from 10.0.0.10: icmp_seq=92 ttl=64 time=2266 ms
1008 bytes from 10.0.0.10: icmp_seq=93 ttl=64 time=2258 ms
1008 bytes from 10.0.0.10: icmp_seq=94 ttl=64 time=2257 ms
1008 bytes from 10.0.0.10: icmp_seq=95 ttl=64 time=2254 ms
1008 bytes from 10.0.0.10: icmp_seq=96 ttl=64 time=2247 ms
1008 bytes from 10.0.0.10: icmp_seq=97 ttl=64 time=2248 ms
1008 bytes from 10.0.0.10: icmp_seq=98 ttl=64 time=2241 ms
1008 bytes from 10.0.0.10: icmp_seq=99 ttl=64 time=2236 ms
1008 bytes from 10.0.0.10: icmp_seq=100 ttl=64 time=2232 ms
1008 bytes from 10.0.0.10: icmp_seq=101 ttl=64 time=2226 ms
1008 bytes from 10.0.0.10: icmp_seq=102 ttl=64 time=2219 ms
1008 bytes from 10.0.0.10: icmp_seq=103 ttl=64 time=2216 ms
1008 bytes from 10.0.0.10: icmp_seq=104 ttl=64 time=2208 ms
1008 bytes from 10.0.0.10: icmp_seq=105 ttl=64 time=2200 ms
1008 bytes from 10.0.0.10: icmp_seq=106 ttl=64 time=2190 ms
1008 bytes from 10.0.0.10: icmp_seq=107 ttl=64 time=2183 ms
1008 bytes from 10.0.0.10: icmp_seq=108 ttl=64 time=2181 ms
1008 bytes from 10.0.0.10: icmp_seq=109 ttl=64 time=2175 ms
1008 bytes from 10.0.0.10: icmp_seq=110 ttl=64 time=2172 ms
1008 bytes from 10.0.0.10: icmp_seq=111 ttl=64 time=2166 ms
1008 bytes from 10.0.0.10: icmp_seq=112 ttl=64 time=2158 ms
1008 bytes from 10.0.0.10: icmp_seq=113 ttl=64 time=2156 ms
1008 bytes from 10.0.0.10: icmp_seq=114 ttl=64 time=2148 ms
1008 bytes from 10.0.0.10: icmp_seq=115 ttl=64 time=2142 ms
1008 bytes from 10.0.0.10: icmp_seq=116 ttl=64 time=2140 ms
1008 bytes from 10.0.0.10: icmp_seq=117 ttl=64 time=2130 ms
1008 bytes from 10.0.0.10: icmp_seq=118 ttl=64 time=2128 ms
1008 bytes from 10.0.0.10: icmp_seq=119 ttl=64 time=2122 ms
1008 bytes from 10.0.0.10: icmp_seq=120 ttl=64 time=2117 ms
1008 bytes from 10.0.0.10: icmp_seq=121 ttl=64 time=2115 ms
1008 bytes from 10.0.0.10: icmp_seq=122 ttl=64 time=2111 ms
1008 bytes from 10.0.0.10: icmp_seq=123 ttl=64 time=2104 ms
1008 bytes from 10.0.0.10: icmp_seq=124 ttl=64 time=2099 ms
1008 bytes from 10.0.0.10: icmp_seq=125 ttl=64 time=2093 ms
1008 bytes from 10.0.0.10: icmp_seq=126 ttl=64 time=2088 ms
1008 bytes from 10.0.0.10: icmp_seq=127 ttl=64 time=2085 ms
1008 bytes from 10.0.0.10: icmp_seq=128 ttl=64 time=2076 ms
1008 bytes from 10.0.0.10: icmp_seq=129 ttl=64 time=2072 ms
1008 bytes from 10.0.0.10: icmp_seq=130 ttl=64 time=2063 ms
1008 bytes from 10.0.0.10: icmp_seq=131 ttl=64 time=2062 ms
1008 bytes from 10.0.0.10: icmp_seq=132 ttl=64 time=2054 ms
1008 bytes from 10.0.0.10: icmp_seq=133 ttl=64 time=2053 ms
1008 bytes from 10.0.0.10: icmp_seq=134 ttl=64 time=2047 ms
1008 bytes from 10.0.0.10: icmp_seq=135 ttl=64 time=2040 ms
1008 bytes from 10.0.0.10: icmp_seq=136 ttl=64 time=2031 ms
1008 bytes from 10.0.0.10: icmp_seq=137 ttl=64 time=2027 ms
1008 bytes from 10.0.0.10: icmp_seq=138 ttl=64 time=2017 ms
1008 bytes from 10.0.0.10: icmp_seq=139 ttl=64 time=2007 ms
1008 bytes from 10.0.0.10: icmp_seq=140 ttl=64 time=1998 ms
1008 bytes from 10.0.0.10: icmp_seq=141 ttl=64 time=1988 ms
1008 bytes from 10.0.0.10: icmp_seq=142 ttl=64 time=1984 ms
1008 bytes from 10.0.0.10: icmp_seq=143 ttl=64 time=1977 ms
1008 bytes from 10.0.0.10: icmp_seq=144 ttl=64 time=1970 ms
1008 bytes from 10.0.0.10: icmp_seq=145 ttl=64 time=1966 ms
1008 bytes from 10.0.0.10: icmp_seq=146 ttl=64 time=1957 ms
1008 bytes from 10.0.0.10: icmp_seq=147 ttl=64 time=1952 ms
1008 bytes from 10.0.0.10: icmp_seq=148 ttl=64 time=1945 ms
1008 bytes from 10.0.0.10: icmp_seq=149 ttl=64 time=1942 ms
1008 bytes from 10.0.0.10: icmp_seq=150 ttl=64 time=1932 ms
1008 bytes from 10.0.0.10: icmp_seq=151 ttl=64 time=1911 ms
1008 bytes from 10.0.0.10: icmp_seq=152 ttl=64 time=1904 ms
1008 bytes from 10.0.0.10: icmp_seq=153 ttl=64 time=1897 ms
1008 bytes from 10.0.0.10: icmp_seq=154 ttl=64 time=1891 ms
1008 bytes from 10.0.0.10: icmp_seq=155 ttl=64 time=1890 ms
