PING 10.0.0.8 (10.0.0.8) 1000(1028) bytes of data.
1008 bytes from 10.0.0.8: icmp_seq=49 ttl=64 time=44.3 ms
1008 bytes from 10.0.0.8: icmp_seq=50 ttl=64 time=36.5 ms
1008 bytes from 10.0.0.8: icmp_seq=51 ttl=64 time=29.2 ms
1008 bytes from 10.0.0.8: icmp_seq=52 ttl=64 time=20.7 ms
1008 bytes from 10.0.0.8: icmp_seq=53 ttl=64 time=11.7 ms
1008 bytes from 10.0.0.8: icmp_seq=54 ttl=64 time=7.00 ms
1008 bytes from 10.0.0.8: icmp_seq=55 ttl=64 time=2.87 ms
1008 bytes from 10.0.0.8: icmp_seq=56 ttl=64 time=0.020 ms
1008 bytes from 10.0.0.8: icmp_seq=57 ttl=64 time=0.036 ms
1008 bytes from 10.0.0.8: icmp_seq=58 ttl=64 time=1.18 ms
1008 bytes from 10.0.0.8: icmp_seq=59 ttl=64 time=0.646 ms
1008 bytes from 10.0.0.8: icmp_seq=60 ttl=64 time=1.10 ms
1008 bytes from 10.0.0.8: icmp_seq=61 ttl=64 time=3.28 ms
1008 bytes from 10.0.0.8: icmp_seq=62 ttl=64 time=0.629 ms
1008 bytes from 10.0.0.8: icmp_seq=63 ttl=64 time=0.262 ms
1008 bytes from 10.0.0.8: icmp_seq=64 ttl=64 time=0.574 ms
1008 bytes from 10.0.0.8: icmp_seq=65 ttl=64 time=0.020 ms
1008 bytes from 10.0.0.8: icmp_seq=66 ttl=64 time=0.069 ms
1008 bytes from 10.0.0.8: icmp_seq=67 ttl=64 time=0.020 ms
1008 bytes from 10.0.0.8: icmp_seq=68 ttl=64 time=1.23 ms
1008 bytes from 10.0.0.8: icmp_seq=69 ttl=64 time=0.891 ms
1008 bytes from 10.0.0.8: icmp_seq=70 ttl=64 time=1.08 ms
1008 bytes from 10.0.0.8: icmp_seq=71 ttl=64 time=0.793 ms
1008 bytes from 10.0.0.8: icmp_seq=72 ttl=64 time=0.073 ms
1008 bytes from 10.0.0.8: icmp_seq=73 ttl=64 time=0.024 ms
1008 bytes from 10.0.0.8: icmp_seq=74 ttl=64 time=0.058 ms
1008 bytes from 10.0.0.8: icmp_seq=75 ttl=64 time=0.695 ms
1008 bytes from 10.0.0.8: icmp_seq=76 ttl=64 time=0.267 ms
1008 bytes from 10.0.0.8: icmp_seq=77 ttl=64 time=0.027 ms
1008 bytes from 10.0.0.8: icmp_seq=78 ttl=64 time=0.019 ms
1008 bytes from 10.0.0.8: icmp_seq=79 ttl=64 time=0.021 ms
