PING 10.0.0.12 (10.0.0.12) 1000(1028) bytes of data.
1008 bytes from 10.0.0.12: icmp_seq=137 ttl=64 time=2.08 ms
1008 bytes from 10.0.0.12: icmp_seq=138 ttl=64 time=3.49 ms
1008 bytes from 10.0.0.12: icmp_seq=139 ttl=64 time=14.5 ms
1008 bytes from 10.0.0.12: icmp_seq=140 ttl=64 time=16.3 ms
1008 bytes from 10.0.0.12: icmp_seq=141 ttl=64 time=21.0 ms
1008 bytes from 10.0.0.12: icmp_seq=142 ttl=64 time=24.0 ms
1008 bytes from 10.0.0.12: icmp_seq=143 ttl=64 time=23.2 ms
1008 bytes from 10.0.0.12: icmp_seq=144 ttl=64 time=20.8 ms
1008 bytes from 10.0.0.12: icmp_seq=145 ttl=64 time=22.9 ms
1008 bytes from 10.0.0.12: icmp_seq=146 ttl=64 time=24.0 ms
1008 bytes from 10.0.0.12: icmp_seq=147 ttl=64 time=22.8 ms
1008 bytes from 10.0.0.12: icmp_seq=148 ttl=64 time=23.3 ms
1008 bytes from 10.0.0.12: icmp_seq=149 ttl=64 time=25.8 ms
1008 bytes from 10.0.0.12: icmp_seq=150 ttl=64 time=25.2 ms
1008 bytes from 10.0.0.12: icmp_seq=151 ttl=64 time=28.3 ms
1008 bytes from 10.0.0.12: icmp_seq=152 ttl=64 time=28.2 ms
1008 bytes from 10.0.0.12: icmp_seq=153 ttl=64 time=31.7 ms
1008 bytes from 10.0.0.12: icmp_seq=154 ttl=64 time=32.8 ms
1008 bytes from 10.0.0.12: icmp_seq=155 ttl=64 time=34.9 ms
1008 bytes from 10.0.0.12: icmp_seq=156 ttl=64 time=39.0 ms
1008 bytes from 10.0.0.12: icmp_seq=157 ttl=64 time=39.4 ms
1008 bytes from 10.0.0.12: icmp_seq=158 ttl=64 time=43.4 ms
1008 bytes from 10.0.0.12: icmp_seq=159 ttl=64 time=44.8 ms
1008 bytes from 10.0.0.12: icmp_seq=160 ttl=64 time=46.4 ms
1008 bytes from 10.0.0.12: icmp_seq=161 ttl=64 time=47.0 ms
1008 bytes from 10.0.0.12: icmp_seq=162 ttl=64 time=51.9 ms
1008 bytes from 10.0.0.12: icmp_seq=163 ttl=64 time=53.3 ms
1008 bytes from 10.0.0.12: icmp_seq=164 ttl=64 time=50.3 ms
1008 bytes from 10.0.0.12: icmp_seq=165 ttl=64 time=54.4 ms
1008 bytes from 10.0.0.12: icmp_seq=166 ttl=64 time=55.7 ms
1008 bytes from 10.0.0.12: icmp_seq=167 ttl=64 time=56.6 ms
1008 bytes from 10.0.0.12: icmp_seq=168 ttl=64 time=57.9 ms
1008 bytes from 10.0.0.12: icmp_seq=169 ttl=64 time=60.0 ms
1008 bytes from 10.0.0.12: icmp_seq=170 ttl=64 time=60.4 ms
1008 bytes from 10.0.0.12: icmp_seq=171 ttl=64 time=65.3 ms
1008 bytes from 10.0.0.12: icmp_seq=172 ttl=64 time=66.1 ms
1008 bytes from 10.0.0.12: icmp_seq=173 ttl=64 time=71.0 ms
1008 bytes from 10.0.0.12: icmp_seq=174 ttl=64 time=74.0 ms
1008 bytes from 10.0.0.12: icmp_seq=175 ttl=64 time=82.1 ms
1008 bytes from 10.0.0.12: icmp_seq=176 ttl=64 time=86.7 ms
1008 bytes from 10.0.0.12: icmp_seq=177 ttl=64 time=94.7 ms
1008 bytes from 10.0.0.12: icmp_seq=178 ttl=64 time=102 ms
1008 bytes from 10.0.0.12: icmp_seq=179 ttl=64 time=109 ms
1008 bytes from 10.0.0.12: icmp_seq=180 ttl=64 time=115 ms
1008 bytes from 10.0.0.12: icmp_seq=181 ttl=64 time=119 ms
1008 bytes from 10.0.0.12: icmp_seq=182 ttl=64 time=122 ms
1008 bytes from 10.0.0.12: icmp_seq=183 ttl=64 time=128 ms
1008 bytes from 10.0.0.12: icmp_seq=184 ttl=64 time=142 ms
1008 bytes from 10.0.0.12: icmp_seq=185 ttl=64 time=149 ms
1008 bytes from 10.0.0.12: icmp_seq=186 ttl=64 time=156 ms
1008 bytes from 10.0.0.12: icmp_seq=187 ttl=64 time=159 ms
1008 bytes from 10.0.0.12: icmp_seq=188 ttl=64 time=156 ms
1008 bytes from 10.0.0.12: icmp_seq=189 ttl=64 time=163 ms
1008 bytes from 10.0.0.12: icmp_seq=190 ttl=64 time=164 ms
1008 bytes from 10.0.0.12: icmp_seq=191 ttl=64 time=165 ms
1008 bytes from 10.0.0.12: icmp_seq=192 ttl=64 time=179 ms
1008 bytes from 10.0.0.12: icmp_seq=193 ttl=64 time=183 ms
1008 bytes from 10.0.0.12: icmp_seq=194 ttl=64 time=193 ms
1008 bytes from 10.0.0.12: icmp_seq=195 ttl=64 time=199 ms
1008 bytes from 10.0.0.12: icmp_seq=196 ttl=64 time=205 ms
1008 bytes from 10.0.0.12: icmp_seq=197 ttl=64 time=205 ms
1008 bytes from 10.0.0.12: icmp_seq=198 ttl=64 time=213 ms
