PING 10.0.0.3 (10.0.0.3) 1000(1028) bytes of data.
1008 bytes from 10.0.0.3: icmp_seq=1 ttl=64 time=76.0 ms
1008 bytes from 10.0.0.3: icmp_seq=6 ttl=64 time=0.364 ms
1008 bytes from 10.0.0.3: icmp_seq=7 ttl=64 time=0.017 ms
1008 bytes from 10.0.0.3: icmp_seq=8 ttl=64 time=0.090 ms
1008 bytes from 10.0.0.3: icmp_seq=9 ttl=64 time=0.024 ms
1008 bytes from 10.0.0.3: icmp_seq=10 ttl=64 time=0.048 ms
1008 bytes from 10.0.0.3: icmp_seq=11 ttl=64 time=1.23 ms
1008 bytes from 10.0.0.3: icmp_seq=12 ttl=64 time=1.85 ms
1008 bytes from 10.0.0.3: icmp_seq=13 ttl=64 time=0.115 ms
1008 bytes from 10.0.0.3: icmp_seq=14 ttl=64 time=7.44 ms
1008 bytes from 10.0.0.3: icmp_seq=15 ttl=64 time=1.53 ms
1008 bytes from 10.0.0.3: icmp_seq=16 ttl=64 time=0.023 ms
1008 bytes from 10.0.0.3: icmp_seq=17 ttl=64 time=2.52 ms
1008 bytes from 10.0.0.3: icmp_seq=18 ttl=64 time=0.044 ms
1008 bytes from 10.0.0.3: icmp_seq=19 ttl=64 time=0.009 ms
1008 bytes from 10.0.0.3: icmp_seq=20 ttl=64 time=0.021 ms
1008 bytes from 10.0.0.3: icmp_seq=21 ttl=64 time=1.30 ms
1008 bytes from 10.0.0.3: icmp_seq=22 ttl=64 time=0.008 ms
1008 bytes from 10.0.0.3: icmp_seq=23 ttl=64 time=5.23 ms
1008 bytes from 10.0.0.3: icmp_seq=24 ttl=64 time=0.008 ms
1008 bytes from 10.0.0.3: icmp_seq=25 ttl=64 time=1.69 ms
1008 bytes from 10.0.0.3: icmp_seq=26 ttl=64 time=1.47 ms
1008 bytes from 10.0.0.3: icmp_seq=27 ttl=64 time=6.42 ms
1008 bytes from 10.0.0.3: icmp_seq=28 ttl=64 time=3.55 ms
1008 bytes from 10.0.0.3: icmp_seq=29 ttl=64 time=0.028 ms
1008 bytes from 10.0.0.3: icmp_seq=30 ttl=64 time=0.035 ms
1008 bytes from 10.0.0.3: icmp_seq=31 ttl=64 time=0.014 ms
1008 bytes from 10.0.0.3: icmp_seq=2 ttl=64 time=444 ms
1008 bytes from 10.0.0.3: icmp_seq=3 ttl=64 time=429 ms
1008 bytes from 10.0.0.3: icmp_seq=4 ttl=64 time=414 ms
1008 bytes from 10.0.0.3: icmp_seq=32 ttl=64 time=5.13 ms
1008 bytes from 10.0.0.3: icmp_seq=5 ttl=64 time=402 ms
1008 bytes from 10.0.0.3: icmp_seq=33 ttl=64 time=6.86 ms
1008 bytes from 10.0.0.3: icmp_seq=34 ttl=64 time=2.13 ms
