PING 10.0.0.12 (10.0.0.12) 1000(1028) bytes of data.
1008 bytes from 10.0.0.12: icmp_seq=1 ttl=64 time=999 ms
1008 bytes from 10.0.0.12: icmp_seq=3 ttl=64 time=1013 ms
1008 bytes from 10.0.0.12: icmp_seq=2 ttl=64 time=1014 ms
1008 bytes from 10.0.0.12: icmp_seq=4 ttl=64 time=1032 ms
1008 bytes from 10.0.0.12: icmp_seq=5 ttl=64 time=1040 ms
1008 bytes from 10.0.0.12: icmp_seq=6 ttl=64 time=1053 ms
1008 bytes from 10.0.0.12: icmp_seq=7 ttl=64 time=1093 ms
1008 bytes from 10.0.0.12: icmp_seq=8 ttl=64 time=1106 ms
1008 bytes from 10.0.0.12: icmp_seq=9 ttl=64 time=1105 ms
1008 bytes from 10.0.0.12: icmp_seq=11 ttl=64 time=1125 ms
1008 bytes from 10.0.0.12: icmp_seq=12 ttl=64 time=1162 ms
1008 bytes from 10.0.0.12: icmp_seq=10 ttl=64 time=1181 ms
1008 bytes from 10.0.0.12: icmp_seq=14 ttl=64 time=1166 ms
1008 bytes from 10.0.0.12: icmp_seq=13 ttl=64 time=1195 ms
1008 bytes from 10.0.0.12: icmp_seq=15 ttl=64 time=1184 ms
1008 bytes from 10.0.0.12: icmp_seq=18 ttl=64 time=1159 ms
1008 bytes from 10.0.0.12: icmp_seq=16 ttl=64 time=1181 ms
1008 bytes from 10.0.0.12: icmp_seq=17 ttl=64 time=1183 ms
1008 bytes from 10.0.0.12: icmp_seq=19 ttl=64 time=1190 ms
1008 bytes from 10.0.0.12: icmp_seq=20 ttl=64 time=1185 ms
1008 bytes from 10.0.0.12: icmp_seq=21 ttl=64 time=1193 ms
1008 bytes from 10.0.0.12: icmp_seq=22 ttl=64 time=1280 ms
1008 bytes from 10.0.0.12: icmp_seq=24 ttl=64 time=1258 ms
1008 bytes from 10.0.0.12: icmp_seq=25 ttl=64 time=1329 ms
1008 bytes from 10.0.0.12: icmp_seq=23 ttl=64 time=1350 ms
1008 bytes from 10.0.0.12: icmp_seq=26 ttl=64 time=1325 ms
1008 bytes from 10.0.0.12: icmp_seq=27 ttl=64 time=1282 ms
1008 bytes from 10.0.0.12: icmp_seq=28 ttl=64 time=1323 ms
1008 bytes from 10.0.0.12: icmp_seq=29 ttl=64 time=1276 ms
1008 bytes from 10.0.0.12: icmp_seq=30 ttl=64 time=1432 ms
1008 bytes from 10.0.0.12: icmp_seq=34 ttl=64 time=1484 ms
1008 bytes from 10.0.0.12: icmp_seq=31 ttl=64 time=1696 ms
1008 bytes from 10.0.0.12: icmp_seq=33 ttl=64 time=1642 ms
1008 bytes from 10.0.0.12: icmp_seq=37 ttl=64 time=1580 ms
1008 bytes from 10.0.0.12: icmp_seq=32 ttl=64 time=1611 ms
1008 bytes from 10.0.0.12: icmp_seq=42 ttl=64 time=1661 ms
1008 bytes from 10.0.0.12: icmp_seq=43 ttl=64 time=1652 ms
1008 bytes from 10.0.0.12: icmp_seq=40 ttl=64 time=1734 ms
1008 bytes from 10.0.0.12: icmp_seq=45 ttl=64 time=1764 ms
1008 bytes from 10.0.0.12: icmp_seq=41 ttl=64 time=1912 ms
1008 bytes from 10.0.0.12: icmp_seq=47 ttl=64 time=1864 ms
1008 bytes from 10.0.0.12: icmp_seq=38 ttl=64 time=1830 ms
1008 bytes from 10.0.0.12: icmp_seq=48 ttl=64 time=1864 ms
1008 bytes from 10.0.0.12: icmp_seq=49 ttl=64 time=1862 ms
1008 bytes from 10.0.0.12: icmp_seq=44 ttl=64 time=1909 ms
1008 bytes from 10.0.0.12: icmp_seq=52 ttl=64 time=1891 ms
1008 bytes from 10.0.0.12: icmp_seq=46 ttl=64 time=1960 ms
1008 bytes from 10.0.0.12: icmp_seq=54 ttl=64 time=1925 ms
1008 bytes from 10.0.0.12: icmp_seq=53 ttl=64 time=2079 ms
1008 bytes from 10.0.0.12: icmp_seq=59 ttl=64 time=1982 ms
1008 bytes from 10.0.0.12: icmp_seq=60 ttl=64 time=1985 ms
1008 bytes from 10.0.0.12: icmp_seq=55 ttl=64 time=2005 ms
1008 bytes from 10.0.0.12: icmp_seq=62 ttl=64 time=1990 ms
1008 bytes from 10.0.0.12: icmp_seq=51 ttl=64 time=2128 ms
1008 bytes from 10.0.0.12: icmp_seq=58 ttl=64 time=2098 ms
1008 bytes from 10.0.0.12: icmp_seq=61 ttl=64 time=2083 ms
1008 bytes from 10.0.0.12: icmp_seq=56 ttl=64 time=2219 ms
1008 bytes from 10.0.0.12: icmp_seq=64 ttl=64 time=2036 ms
1008 bytes from 10.0.0.12: icmp_seq=63 ttl=64 time=2095 ms
1008 bytes from 10.0.0.12: icmp_seq=65 ttl=64 time=2106 ms
1008 bytes from 10.0.0.12: icmp_seq=66 ttl=64 time=2146 ms
1008 bytes from 10.0.0.12: icmp_seq=67 ttl=64 time=2298 ms
1008 bytes from 10.0.0.12: icmp_seq=68 ttl=64 time=2300 ms
1008 bytes from 10.0.0.12: icmp_seq=70 ttl=64 time=2294 ms
1008 bytes from 10.0.0.12: icmp_seq=71 ttl=64 time=2285 ms
1008 bytes from 10.0.0.12: icmp_seq=72 ttl=64 time=2322 ms
1008 bytes from 10.0.0.12: icmp_seq=69 ttl=64 time=2324 ms
1008 bytes from 10.0.0.12: icmp_seq=81 ttl=64 time=2346 ms
1008 bytes from 10.0.0.12: icmp_seq=73 ttl=64 time=2416 ms
1008 bytes from 10.0.0.12: icmp_seq=75 ttl=64 time=2411 ms
1008 bytes from 10.0.0.12: icmp_seq=76 ttl=64 time=2406 ms
1008 bytes from 10.0.0.12: icmp_seq=77 ttl=64 time=2401 ms
1008 bytes from 10.0.0.12: icmp_seq=87 ttl=64 time=2466 ms
1008 bytes from 10.0.0.12: icmp_seq=74 ttl=64 time=2740 ms
1008 bytes from 10.0.0.12: icmp_seq=80 ttl=64 time=2466 ms
1008 bytes from 10.0.0.12: icmp_seq=90 ttl=64 time=2666 ms
1008 bytes from 10.0.0.12: icmp_seq=91 ttl=64 time=2646 ms
1008 bytes from 10.0.0.12: icmp_seq=82 ttl=64 time=2628 ms
1008 bytes from 10.0.0.12: icmp_seq=83 ttl=64 time=2679 ms
1008 bytes from 10.0.0.12: icmp_seq=84 ttl=64 time=2695 ms
1008 bytes from 10.0.0.12: icmp_seq=78 ttl=64 time=3132 ms
1008 bytes from 10.0.0.12: icmp_seq=89 ttl=64 time=3047 ms
1008 bytes from 10.0.0.12: icmp_seq=95 ttl=64 time=2853 ms
1008 bytes from 10.0.0.12: icmp_seq=97 ttl=64 time=2827 ms
1008 bytes from 10.0.0.12: icmp_seq=98 ttl=64 time=2850 ms
1008 bytes from 10.0.0.12: icmp_seq=99 ttl=64 time=2873 ms
1008 bytes from 10.0.0.12: icmp_seq=102 ttl=64 time=2995 ms
1008 bytes from 10.0.0.12: icmp_seq=107 ttl=64 time=2937 ms
1008 bytes from 10.0.0.12: icmp_seq=103 ttl=64 time=2981 ms
1008 bytes from 10.0.0.12: icmp_seq=104 ttl=64 time=2978 ms
1008 bytes from 10.0.0.12: icmp_seq=105 ttl=64 time=2963 ms
1008 bytes from 10.0.0.12: icmp_seq=106 ttl=64 time=2971 ms
1008 bytes from 10.0.0.12: icmp_seq=111 ttl=64 time=2922 ms
1008 bytes from 10.0.0.12: icmp_seq=108 ttl=64 time=2988 ms
1008 bytes from 10.0.0.12: icmp_seq=112 ttl=64 time=2948 ms
1008 bytes from 10.0.0.12: icmp_seq=113 ttl=64 time=2936 ms
1008 bytes from 10.0.0.12: icmp_seq=114 ttl=64 time=2960 ms
1008 bytes from 10.0.0.12: icmp_seq=116 ttl=64 time=2938 ms
1008 bytes from 10.0.0.12: icmp_seq=117 ttl=64 time=2987 ms
1008 bytes from 10.0.0.12: icmp_seq=118 ttl=64 time=3000 ms
1008 bytes from 10.0.0.12: icmp_seq=119 ttl=64 time=3000 ms
1008 bytes from 10.0.0.12: icmp_seq=120 ttl=64 time=3012 ms
1008 bytes from 10.0.0.12: icmp_seq=121 ttl=64 time=3019 ms
1008 bytes from 10.0.0.12: icmp_seq=122 ttl=64 time=3017 ms
1008 bytes from 10.0.0.12: icmp_seq=123 ttl=64 time=3034 ms
1008 bytes from 10.0.0.12: icmp_seq=124 ttl=64 time=3025 ms
1008 bytes from 10.0.0.12: icmp_seq=125 ttl=64 time=3024 ms
1008 bytes from 10.0.0.12: icmp_seq=129 ttl=64 time=3002 ms
1008 bytes from 10.0.0.12: icmp_seq=130 ttl=64 time=3170 ms
1008 bytes from 10.0.0.12: icmp_seq=131 ttl=64 time=3250 ms
1008 bytes from 10.0.0.12: icmp_seq=132 ttl=64 time=3249 ms
1008 bytes from 10.0.0.12: icmp_seq=134 ttl=64 time=3243 ms
1008 bytes from 10.0.0.12: icmp_seq=135 ttl=64 time=3213 ms
1008 bytes from 10.0.0.12: icmp_seq=136 ttl=64 time=3190 ms
1008 bytes from 10.0.0.12: icmp_seq=137 ttl=64 time=3209 ms
1008 bytes from 10.0.0.12: icmp_seq=138 ttl=64 time=3197 ms
1008 bytes from 10.0.0.12: icmp_seq=142 ttl=64 time=3150 ms
1008 bytes from 10.0.0.12: icmp_seq=143 ttl=64 time=3178 ms
1008 bytes from 10.0.0.12: icmp_seq=145 ttl=64 time=3140 ms
1008 bytes from 10.0.0.12: icmp_seq=146 ttl=64 time=3147 ms
1008 bytes from 10.0.0.12: icmp_seq=147 ttl=64 time=3133 ms

--- 10.0.0.12 ping statistics ---
250 packets transmitted, 121 received, 51% packet loss, time 6893ms
rtt min/avg/max/mdev = 999.921/2196.242/3250.404/743.157 ms, pipe 109
path = [10, 11, 8, 3]
duration=13410
