PING 10.0.0.3 (10.0.0.3) 1000(1028) bytes of data.
1008 bytes from 10.0.0.3: icmp_seq=1 ttl=64 time=311 ms
1008 bytes from 10.0.0.3: icmp_seq=2 ttl=64 time=328 ms
1008 bytes from 10.0.0.3: icmp_seq=3 ttl=64 time=337 ms
1008 bytes from 10.0.0.3: icmp_seq=4 ttl=64 time=337 ms
1008 bytes from 10.0.0.3: icmp_seq=5 ttl=64 time=379 ms
1008 bytes from 10.0.0.3: icmp_seq=6 ttl=64 time=375 ms
1008 bytes from 10.0.0.3: icmp_seq=7 ttl=64 time=384 ms
1008 bytes from 10.0.0.3: icmp_seq=8 ttl=64 time=402 ms
1008 bytes from 10.0.0.3: icmp_seq=9 ttl=64 time=457 ms
1008 bytes from 10.0.0.3: icmp_seq=11 ttl=64 time=487 ms
1008 bytes from 10.0.0.3: icmp_seq=10 ttl=64 time=563 ms
1008 bytes from 10.0.0.3: icmp_seq=12 ttl=64 time=558 ms
1008 bytes from 10.0.0.3: icmp_seq=13 ttl=64 time=607 ms
1008 bytes from 10.0.0.3: icmp_seq=14 ttl=64 time=594 ms
1008 bytes from 10.0.0.3: icmp_seq=16 ttl=64 time=586 ms
1008 bytes from 10.0.0.3: icmp_seq=15 ttl=64 time=651 ms
1008 bytes from 10.0.0.3: icmp_seq=17 ttl=64 time=627 ms
1008 bytes from 10.0.0.3: icmp_seq=18 ttl=64 time=636 ms
1008 bytes from 10.0.0.3: icmp_seq=19 ttl=64 time=644 ms
1008 bytes from 10.0.0.3: icmp_seq=21 ttl=64 time=625 ms
1008 bytes from 10.0.0.3: icmp_seq=22 ttl=64 time=626 ms
1008 bytes from 10.0.0.3: icmp_seq=23 ttl=64 time=620 ms
1008 bytes from 10.0.0.3: icmp_seq=25 ttl=64 time=611 ms
1008 bytes from 10.0.0.3: icmp_seq=26 ttl=64 time=603 ms
1008 bytes from 10.0.0.3: icmp_seq=27 ttl=64 time=595 ms
1008 bytes from 10.0.0.3: icmp_seq=24 ttl=64 time=635 ms
1008 bytes from 10.0.0.3: icmp_seq=28 ttl=64 time=625 ms
1008 bytes from 10.0.0.3: icmp_seq=29 ttl=64 time=664 ms
1008 bytes from 10.0.0.3: icmp_seq=30 ttl=64 time=696 ms
1008 bytes from 10.0.0.3: icmp_seq=33 ttl=64 time=662 ms
1008 bytes from 10.0.0.3: icmp_seq=20 ttl=64 time=865 ms
1008 bytes from 10.0.0.3: icmp_seq=34 ttl=64 time=665 ms
1008 bytes from 10.0.0.3: icmp_seq=31 ttl=64 time=704 ms
1008 bytes from 10.0.0.3: icmp_seq=32 ttl=64 time=697 ms
1008 bytes from 10.0.0.3: icmp_seq=35 ttl=64 time=686 ms
1008 bytes from 10.0.0.3: icmp_seq=37 ttl=64 time=745 ms
1008 bytes from 10.0.0.3: icmp_seq=40 ttl=64 time=730 ms
1008 bytes from 10.0.0.3: icmp_seq=36 ttl=64 time=769 ms
1008 bytes from 10.0.0.3: icmp_seq=39 ttl=64 time=725 ms
1008 bytes from 10.0.0.3: icmp_seq=44 ttl=64 time=652 ms
1008 bytes from 10.0.0.3: icmp_seq=45 ttl=64 time=640 ms
1008 bytes from 10.0.0.3: icmp_seq=38 ttl=64 time=758 ms
1008 bytes from 10.0.0.3: icmp_seq=42 ttl=64 time=676 ms
1008 bytes from 10.0.0.3: icmp_seq=43 ttl=64 time=672 ms
1008 bytes from 10.0.0.3: icmp_seq=41 ttl=64 time=736 ms
1008 bytes from 10.0.0.3: icmp_seq=49 ttl=64 time=628 ms
1008 bytes from 10.0.0.3: icmp_seq=47 ttl=64 time=664 ms
1008 bytes from 10.0.0.3: icmp_seq=48 ttl=64 time=680 ms
1008 bytes from 10.0.0.3: icmp_seq=46 ttl=64 time=710 ms
1008 bytes from 10.0.0.3: icmp_seq=50 ttl=64 time=677 ms
1008 bytes from 10.0.0.3: icmp_seq=52 ttl=64 time=709 ms
1008 bytes from 10.0.0.3: icmp_seq=53 ttl=64 time=725 ms
1008 bytes from 10.0.0.3: icmp_seq=51 ttl=64 time=758 ms
1008 bytes from 10.0.0.3: icmp_seq=55 ttl=64 time=695 ms
1008 bytes from 10.0.0.3: icmp_seq=56 ttl=64 time=694 ms
1008 bytes from 10.0.0.3: icmp_seq=57 ttl=64 time=755 ms
1008 bytes from 10.0.0.3: icmp_seq=58 ttl=64 time=755 ms
1008 bytes from 10.0.0.3: icmp_seq=54 ttl=64 time=827 ms
1008 bytes from 10.0.0.3: icmp_seq=60 ttl=64 time=756 ms
1008 bytes from 10.0.0.3: icmp_seq=61 ttl=64 time=754 ms
1008 bytes from 10.0.0.3: icmp_seq=62 ttl=64 time=793 ms
1008 bytes from 10.0.0.3: icmp_seq=69 ttl=64 time=711 ms
