PING 10.0.0.1 (10.0.0.1) 1000(1028) bytes of data.
1008 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=165 ms
1008 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=145 ms
1008 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=114 ms
1008 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=161 ms
1008 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=164 ms
1008 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=156 ms
1008 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=166 ms
1008 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=167 ms
1008 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=176 ms
1008 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=106 ms
1008 bytes from 10.0.0.1: icmp_seq=51 ttl=64 time=111 ms
1008 bytes from 10.0.0.1: icmp_seq=52 ttl=64 time=116 ms
1008 bytes from 10.0.0.1: icmp_seq=53 ttl=64 time=114 ms
1008 bytes from 10.0.0.1: icmp_seq=54 ttl=64 time=116 ms
1008 bytes from 10.0.0.1: icmp_seq=55 ttl=64 time=114 ms
1008 bytes from 10.0.0.1: icmp_seq=56 ttl=64 time=115 ms
1008 bytes from 10.0.0.1: icmp_seq=57 ttl=64 time=123 ms
1008 bytes from 10.0.0.1: icmp_seq=58 ttl=64 time=127 ms
1008 bytes from 10.0.0.1: icmp_seq=59 ttl=64 time=129 ms
1008 bytes from 10.0.0.1: icmp_seq=60 ttl=64 time=134 ms
1008 bytes from 10.0.0.1: icmp_seq=61 ttl=64 time=136 ms
1008 bytes from 10.0.0.1: icmp_seq=62 ttl=64 time=138 ms
1008 bytes from 10.0.0.1: icmp_seq=63 ttl=64 time=137 ms
1008 bytes from 10.0.0.1: icmp_seq=64 ttl=64 time=136 ms
1008 bytes from 10.0.0.1: icmp_seq=65 ttl=64 time=136 ms
1008 bytes from 10.0.0.1: icmp_seq=66 ttl=64 time=136 ms
1008 bytes from 10.0.0.1: icmp_seq=67 ttl=64 time=143 ms
1008 bytes from 10.0.0.1: icmp_seq=68 ttl=64 time=147 ms
1008 bytes from 10.0.0.1: icmp_seq=69 ttl=64 time=146 ms
1008 bytes from 10.0.0.1: icmp_seq=70 ttl=64 time=146 ms
1008 bytes from 10.0.0.1: icmp_seq=71 ttl=64 time=150 ms
1008 bytes from 10.0.0.1: icmp_seq=72 ttl=64 time=147 ms
1008 bytes from 10.0.0.1: icmp_seq=73 ttl=64 time=148 ms
1008 bytes from 10.0.0.1: icmp_seq=74 ttl=64 time=154 ms
1008 bytes from 10.0.0.1: icmp_seq=75 ttl=64 time=157 ms
1008 bytes from 10.0.0.1: icmp_seq=76 ttl=64 time=156 ms
1008 bytes from 10.0.0.1: icmp_seq=77 ttl=64 time=153 ms
1008 bytes from 10.0.0.1: icmp_seq=78 ttl=64 time=152 ms
1008 bytes from 10.0.0.1: icmp_seq=79 ttl=64 time=145 ms
1008 bytes from 10.0.0.1: icmp_seq=80 ttl=64 time=143 ms
1008 bytes from 10.0.0.1: icmp_seq=81 ttl=64 time=147 ms
1008 bytes from 10.0.0.1: icmp_seq=82 ttl=64 time=145 ms
1008 bytes from 10.0.0.1: icmp_seq=83 ttl=64 time=148 ms
1008 bytes from 10.0.0.1: icmp_seq=84 ttl=64 time=148 ms
1008 bytes from 10.0.0.1: icmp_seq=85 ttl=64 time=143 ms
1008 bytes from 10.0.0.1: icmp_seq=86 ttl=64 time=139 ms
1008 bytes from 10.0.0.1: icmp_seq=87 ttl=64 time=147 ms
1008 bytes from 10.0.0.1: icmp_seq=88 ttl=64 time=147 ms
1008 bytes from 10.0.0.1: icmp_seq=89 ttl=64 time=150 ms
1008 bytes from 10.0.0.1: icmp_seq=90 ttl=64 time=147 ms
1008 bytes from 10.0.0.1: icmp_seq=91 ttl=64 time=151 ms
1008 bytes from 10.0.0.1: icmp_seq=92 ttl=64 time=146 ms
1008 bytes from 10.0.0.1: icmp_seq=93 ttl=64 time=151 ms
1008 bytes from 10.0.0.1: icmp_seq=94 ttl=64 time=145 ms
1008 bytes from 10.0.0.1: icmp_seq=95 ttl=64 time=140 ms
1008 bytes from 10.0.0.1: icmp_seq=96 ttl=64 time=136 ms
1008 bytes from 10.0.0.1: icmp_seq=97 ttl=64 time=119 ms
1008 bytes from 10.0.0.1: icmp_seq=98 ttl=64 time=118 ms
1008 bytes from 10.0.0.1: icmp_seq=99 ttl=64 time=109 ms
1008 bytes from 10.0.0.1: icmp_seq=100 ttl=64 time=110 ms
1008 bytes from 10.0.0.1: icmp_seq=101 ttl=64 time=113 ms
1008 bytes from 10.0.0.1: icmp_seq=102 ttl=64 time=107 ms
1008 bytes from 10.0.0.1: icmp_seq=103 ttl=64 time=109 ms
1008 bytes from 10.0.0.1: icmp_seq=104 ttl=64 time=99.4 ms
1008 bytes from 10.0.0.1: icmp_seq=105 ttl=64 time=100 ms
1008 bytes from 10.0.0.1: icmp_seq=106 ttl=64 time=110 ms
1008 bytes from 10.0.0.1: icmp_seq=107 ttl=64 time=81.4 ms
1008 bytes from 10.0.0.1: icmp_seq=108 ttl=64 time=85.2 ms
1008 bytes from 10.0.0.1: icmp_seq=109 ttl=64 time=89.9 ms
1008 bytes from 10.0.0.1: icmp_seq=110 ttl=64 time=105 ms
1008 bytes from 10.0.0.1: icmp_seq=111 ttl=64 time=117 ms
1008 bytes from 10.0.0.1: icmp_seq=112 ttl=64 time=130 ms
1008 bytes from 10.0.0.1: icmp_seq=113 ttl=64 time=126 ms
1008 bytes from 10.0.0.1: icmp_seq=114 ttl=64 time=131 ms
1008 bytes from 10.0.0.1: icmp_seq=115 ttl=64 time=144 ms
1008 bytes from 10.0.0.1: icmp_seq=116 ttl=64 time=154 ms
1008 bytes from 10.0.0.1: icmp_seq=117 ttl=64 time=171 ms
1008 bytes from 10.0.0.1: icmp_seq=118 ttl=64 time=187 ms
1008 bytes from 10.0.0.1: icmp_seq=119 ttl=64 time=202 ms
1008 bytes from 10.0.0.1: icmp_seq=120 ttl=64 time=219 ms
1008 bytes from 10.0.0.1: icmp_seq=121 ttl=64 time=233 ms
1008 bytes from 10.0.0.1: icmp_seq=122 ttl=64 time=251 ms
1008 bytes from 10.0.0.1: icmp_seq=123 ttl=64 time=266 ms
1008 bytes from 10.0.0.1: icmp_seq=124 ttl=64 time=280 ms
1008 bytes from 10.0.0.1: icmp_seq=125 ttl=64 time=301 ms
1008 bytes from 10.0.0.1: icmp_seq=126 ttl=64 time=316 ms
1008 bytes from 10.0.0.1: icmp_seq=127 ttl=64 time=325 ms
1008 bytes from 10.0.0.1: icmp_seq=128 ttl=64 time=347 ms
1008 bytes from 10.0.0.1: icmp_seq=129 ttl=64 time=363 ms
1008 bytes from 10.0.0.1: icmp_seq=130 ttl=64 time=375 ms
1008 bytes from 10.0.0.1: icmp_seq=131 ttl=64 time=392 ms
1008 bytes from 10.0.0.1: icmp_seq=132 ttl=64 time=406 ms
1008 bytes from 10.0.0.1: icmp_seq=133 ttl=64 time=430 ms
1008 bytes from 10.0.0.1: icmp_seq=134 ttl=64 time=448 ms
1008 bytes from 10.0.0.1: icmp_seq=135 ttl=64 time=457 ms
1008 bytes from 10.0.0.1: icmp_seq=136 ttl=64 time=481 ms
1008 bytes from 10.0.0.1: icmp_seq=137 ttl=64 time=505 ms
1008 bytes from 10.0.0.1: icmp_seq=138 ttl=64 time=513 ms
1008 bytes from 10.0.0.1: icmp_seq=139 ttl=64 time=527 ms
1008 bytes from 10.0.0.1: icmp_seq=140 ttl=64 time=537 ms
1008 bytes from 10.0.0.1: icmp_seq=141 ttl=64 time=555 ms
1008 bytes from 10.0.0.1: icmp_seq=142 ttl=64 time=568 ms
1008 bytes from 10.0.0.1: icmp_seq=143 ttl=64 time=576 ms
1008 bytes from 10.0.0.1: icmp_seq=144 ttl=64 time=584 ms
1008 bytes from 10.0.0.1: icmp_seq=145 ttl=64 time=588 ms
1008 bytes from 10.0.0.1: icmp_seq=146 ttl=64 time=591 ms
1008 bytes from 10.0.0.1: icmp_seq=147 ttl=64 time=599 ms
1008 bytes from 10.0.0.1: icmp_seq=148 ttl=64 time=601 ms
1008 bytes from 10.0.0.1: icmp_seq=149 ttl=64 time=609 ms
1008 bytes from 10.0.0.1: icmp_seq=150 ttl=64 time=608 ms
1008 bytes from 10.0.0.1: icmp_seq=151 ttl=64 time=614 ms
1008 bytes from 10.0.0.1: icmp_seq=152 ttl=64 time=627 ms
1008 bytes from 10.0.0.1: icmp_seq=153 ttl=64 time=631 ms
1008 bytes from 10.0.0.1: icmp_seq=154 ttl=64 time=634 ms
1008 bytes from 10.0.0.1: icmp_seq=155 ttl=64 time=645 ms
1008 bytes from 10.0.0.1: icmp_seq=156 ttl=64 time=650 ms
1008 bytes from 10.0.0.1: icmp_seq=157 ttl=64 time=655 ms
1008 bytes from 10.0.0.1: icmp_seq=158 ttl=64 time=659 ms
1008 bytes from 10.0.0.1: icmp_seq=159 ttl=64 time=660 ms
1008 bytes from 10.0.0.1: icmp_seq=160 ttl=64 time=668 ms
1008 bytes from 10.0.0.1: icmp_seq=161 ttl=64 time=675 ms
1008 bytes from 10.0.0.1: icmp_seq=162 ttl=64 time=676 ms
1008 bytes from 10.0.0.1: icmp_seq=163 ttl=64 time=684 ms
1008 bytes from 10.0.0.1: icmp_seq=164 ttl=64 time=687 ms
1008 bytes from 10.0.0.1: icmp_seq=165 ttl=64 time=696 ms
1008 bytes from 10.0.0.1: icmp_seq=166 ttl=64 time=680 ms
1008 bytes from 10.0.0.1: icmp_seq=167 ttl=64 time=686 ms
1008 bytes from 10.0.0.1: icmp_seq=168 ttl=64 time=690 ms
1008 bytes from 10.0.0.1: icmp_seq=169 ttl=64 time=702 ms
1008 bytes from 10.0.0.1: icmp_seq=170 ttl=64 time=709 ms
