PING 10.0.0.11 (10.0.0.11) 1000(1028) bytes of data.
1008 bytes from 10.0.0.11: icmp_seq=44 ttl=64 time=11.9 ms
1008 bytes from 10.0.0.11: icmp_seq=45 ttl=64 time=15.5 ms
1008 bytes from 10.0.0.11: icmp_seq=46 ttl=64 time=17.0 ms
1008 bytes from 10.0.0.11: icmp_seq=47 ttl=64 time=22.5 ms
1008 bytes from 10.0.0.11: icmp_seq=48 ttl=64 time=18.5 ms
1008 bytes from 10.0.0.11: icmp_seq=49 ttl=64 time=19.3 ms
1008 bytes from 10.0.0.11: icmp_seq=50 ttl=64 time=21.7 ms
1008 bytes from 10.0.0.11: icmp_seq=51 ttl=64 time=23.9 ms
1008 bytes from 10.0.0.11: icmp_seq=52 ttl=64 time=23.2 ms
1008 bytes from 10.0.0.11: icmp_seq=53 ttl=64 time=23.2 ms
1008 bytes from 10.0.0.11: icmp_seq=54 ttl=64 time=23.7 ms
1008 bytes from 10.0.0.11: icmp_seq=55 ttl=64 time=24.0 ms
1008 bytes from 10.0.0.11: icmp_seq=56 ttl=64 time=25.2 ms
1008 bytes from 10.0.0.11: icmp_seq=57 ttl=64 time=26.2 ms
1008 bytes from 10.0.0.11: icmp_seq=58 ttl=64 time=26.9 ms
1008 bytes from 10.0.0.11: icmp_seq=59 ttl=64 time=31.0 ms
1008 bytes from 10.0.0.11: icmp_seq=60 ttl=64 time=30.8 ms
1008 bytes from 10.0.0.11: icmp_seq=61 ttl=64 time=33.0 ms
1008 bytes from 10.0.0.11: icmp_seq=62 ttl=64 time=40.7 ms
1008 bytes from 10.0.0.11: icmp_seq=63 ttl=64 time=40.7 ms
1008 bytes from 10.0.0.11: icmp_seq=64 ttl=64 time=46.8 ms
1008 bytes from 10.0.0.11: icmp_seq=65 ttl=64 time=40.9 ms
1008 bytes from 10.0.0.11: icmp_seq=66 ttl=64 time=45.2 ms
1008 bytes from 10.0.0.11: icmp_seq=67 ttl=64 time=47.3 ms
1008 bytes from 10.0.0.11: icmp_seq=68 ttl=64 time=50.9 ms
1008 bytes from 10.0.0.11: icmp_seq=69 ttl=64 time=47.8 ms
1008 bytes from 10.0.0.11: icmp_seq=70 ttl=64 time=50.7 ms
1008 bytes from 10.0.0.11: icmp_seq=71 ttl=64 time=55.5 ms
1008 bytes from 10.0.0.11: icmp_seq=72 ttl=64 time=55.5 ms
1008 bytes from 10.0.0.11: icmp_seq=73 ttl=64 time=58.0 ms
1008 bytes from 10.0.0.11: icmp_seq=74 ttl=64 time=58.9 ms
1008 bytes from 10.0.0.11: icmp_seq=75 ttl=64 time=59.1 ms
1008 bytes from 10.0.0.11: icmp_seq=76 ttl=64 time=57.4 ms
1008 bytes from 10.0.0.11: icmp_seq=77 ttl=64 time=63.2 ms
1008 bytes from 10.0.0.11: icmp_seq=78 ttl=64 time=64.1 ms
1008 bytes from 10.0.0.11: icmp_seq=79 ttl=64 time=67.6 ms
1008 bytes from 10.0.0.11: icmp_seq=80 ttl=64 time=72.9 ms
1008 bytes from 10.0.0.11: icmp_seq=81 ttl=64 time=76.0 ms
1008 bytes from 10.0.0.11: icmp_seq=82 ttl=64 time=82.9 ms
1008 bytes from 10.0.0.11: icmp_seq=83 ttl=64 time=85.8 ms
1008 bytes from 10.0.0.11: icmp_seq=84 ttl=64 time=101 ms
1008 bytes from 10.0.0.11: icmp_seq=85 ttl=64 time=105 ms
1008 bytes from 10.0.0.11: icmp_seq=86 ttl=64 time=111 ms
1008 bytes from 10.0.0.11: icmp_seq=87 ttl=64 time=118 ms
1008 bytes from 10.0.0.11: icmp_seq=88 ttl=64 time=122 ms
1008 bytes from 10.0.0.11: icmp_seq=89 ttl=64 time=127 ms
1008 bytes from 10.0.0.11: icmp_seq=90 ttl=64 time=138 ms
1008 bytes from 10.0.0.11: icmp_seq=91 ttl=64 time=143 ms
1008 bytes from 10.0.0.11: icmp_seq=92 ttl=64 time=150 ms
1008 bytes from 10.0.0.11: icmp_seq=93 ttl=64 time=150 ms
1008 bytes from 10.0.0.11: icmp_seq=94 ttl=64 time=163 ms
1008 bytes from 10.0.0.11: icmp_seq=95 ttl=64 time=170 ms
1008 bytes from 10.0.0.11: icmp_seq=96 ttl=64 time=170 ms
1008 bytes from 10.0.0.11: icmp_seq=97 ttl=64 time=169 ms
1008 bytes from 10.0.0.11: icmp_seq=98 ttl=64 time=170 ms
1008 bytes from 10.0.0.11: icmp_seq=99 ttl=64 time=179 ms
1008 bytes from 10.0.0.11: icmp_seq=100 ttl=64 time=174 ms
1008 bytes from 10.0.0.11: icmp_seq=101 ttl=64 time=187 ms
1008 bytes from 10.0.0.11: icmp_seq=102 ttl=64 time=193 ms
1008 bytes from 10.0.0.11: icmp_seq=103 ttl=64 time=207 ms
1008 bytes from 10.0.0.11: icmp_seq=104 ttl=64 time=215 ms
1008 bytes from 10.0.0.11: icmp_seq=105 ttl=64 time=229 ms
1008 bytes from 10.0.0.11: icmp_seq=106 ttl=64 time=242 ms
1008 bytes from 10.0.0.11: icmp_seq=107 ttl=64 time=249 ms
1008 bytes from 10.0.0.11: icmp_seq=108 ttl=64 time=262 ms
1008 bytes from 10.0.0.11: icmp_seq=109 ttl=64 time=272 ms
1008 bytes from 10.0.0.11: icmp_seq=110 ttl=64 time=279 ms
1008 bytes from 10.0.0.11: icmp_seq=111 ttl=64 time=283 ms
1008 bytes from 10.0.0.11: icmp_seq=112 ttl=64 time=293 ms
1008 bytes from 10.0.0.11: icmp_seq=113 ttl=64 time=308 ms
1008 bytes from 10.0.0.11: icmp_seq=114 ttl=64 time=319 ms
1008 bytes from 10.0.0.11: icmp_seq=115 ttl=64 time=333 ms
1008 bytes from 10.0.0.11: icmp_seq=116 ttl=64 time=344 ms
1008 bytes from 10.0.0.11: icmp_seq=117 ttl=64 time=353 ms
1008 bytes from 10.0.0.11: icmp_seq=118 ttl=64 time=363 ms
1008 bytes from 10.0.0.11: icmp_seq=119 ttl=64 time=372 ms
1008 bytes from 10.0.0.11: icmp_seq=120 ttl=64 time=386 ms
