PING 10.0.0.10 (10.0.0.10) 1000(1028) bytes of data.
1008 bytes from 10.0.0.10: icmp_seq=41 ttl=64 time=0.012 ms
1008 bytes from 10.0.0.10: icmp_seq=42 ttl=64 time=9.82 ms
1008 bytes from 10.0.0.10: icmp_seq=43 ttl=64 time=13.1 ms
1008 bytes from 10.0.0.10: icmp_seq=44 ttl=64 time=12.6 ms
1008 bytes from 10.0.0.10: icmp_seq=45 ttl=64 time=13.2 ms
1008 bytes from 10.0.0.10: icmp_seq=46 ttl=64 time=13.6 ms
1008 bytes from 10.0.0.10: icmp_seq=47 ttl=64 time=12.1 ms
1008 bytes from 10.0.0.10: icmp_seq=48 ttl=64 time=13.4 ms
1008 bytes from 10.0.0.10: icmp_seq=49 ttl=64 time=13.6 ms
1008 bytes from 10.0.0.10: icmp_seq=50 ttl=64 time=14.1 ms
1008 bytes from 10.0.0.10: icmp_seq=51 ttl=64 time=14.6 ms
1008 bytes from 10.0.0.10: icmp_seq=52 ttl=64 time=14.5 ms
1008 bytes from 10.0.0.10: icmp_seq=53 ttl=64 time=13.5 ms
1008 bytes from 10.0.0.10: icmp_seq=54 ttl=64 time=15.2 ms
1008 bytes from 10.0.0.10: icmp_seq=55 ttl=64 time=17.2 ms
1008 bytes from 10.0.0.10: icmp_seq=56 ttl=64 time=15.5 ms
1008 bytes from 10.0.0.10: icmp_seq=57 ttl=64 time=11.4 ms
1008 bytes from 10.0.0.10: icmp_seq=58 ttl=64 time=13.4 ms
1008 bytes from 10.0.0.10: icmp_seq=59 ttl=64 time=13.7 ms
1008 bytes from 10.0.0.10: icmp_seq=60 ttl=64 time=14.0 ms
1008 bytes from 10.0.0.10: icmp_seq=61 ttl=64 time=14.3 ms
1008 bytes from 10.0.0.10: icmp_seq=62 ttl=64 time=13.5 ms
1008 bytes from 10.0.0.10: icmp_seq=63 ttl=64 time=14.8 ms
1008 bytes from 10.0.0.10: icmp_seq=64 ttl=64 time=14.0 ms
1008 bytes from 10.0.0.10: icmp_seq=65 ttl=64 time=16.3 ms
1008 bytes from 10.0.0.10: icmp_seq=66 ttl=64 time=15.1 ms
1008 bytes from 10.0.0.10: icmp_seq=67 ttl=64 time=14.4 ms
1008 bytes from 10.0.0.10: icmp_seq=68 ttl=64 time=19.3 ms
1008 bytes from 10.0.0.10: icmp_seq=69 ttl=64 time=20.2 ms
1008 bytes from 10.0.0.10: icmp_seq=70 ttl=64 time=16.8 ms
1008 bytes from 10.0.0.10: icmp_seq=71 ttl=64 time=14.2 ms
1008 bytes from 10.0.0.10: icmp_seq=72 ttl=64 time=14.7 ms
1008 bytes from 10.0.0.10: icmp_seq=73 ttl=64 time=13.7 ms
1008 bytes from 10.0.0.10: icmp_seq=74 ttl=64 time=15.1 ms
1008 bytes from 10.0.0.10: icmp_seq=75 ttl=64 time=13.9 ms
1008 bytes from 10.0.0.10: icmp_seq=76 ttl=64 time=14.6 ms
1008 bytes from 10.0.0.10: icmp_seq=77 ttl=64 time=15.8 ms
1008 bytes from 10.0.0.10: icmp_seq=78 ttl=64 time=14.4 ms
1008 bytes from 10.0.0.10: icmp_seq=79 ttl=64 time=15.4 ms
1008 bytes from 10.0.0.10: icmp_seq=80 ttl=64 time=15.6 ms
1008 bytes from 10.0.0.10: icmp_seq=81 ttl=64 time=15.7 ms
1008 bytes from 10.0.0.10: icmp_seq=82 ttl=64 time=0.363 ms
1008 bytes from 10.0.0.10: icmp_seq=83 ttl=64 time=3.31 ms
1008 bytes from 10.0.0.10: icmp_seq=84 ttl=64 time=1.67 ms
1008 bytes from 10.0.0.10: icmp_seq=85 ttl=64 time=0.014 ms
1008 bytes from 10.0.0.10: icmp_seq=86 ttl=64 time=12.4 ms
1008 bytes from 10.0.0.10: icmp_seq=87 ttl=64 time=18.1 ms
1008 bytes from 10.0.0.10: icmp_seq=88 ttl=64 time=24.6 ms
1008 bytes from 10.0.0.10: icmp_seq=89 ttl=64 time=25.7 ms
1008 bytes from 10.0.0.10: icmp_seq=90 ttl=64 time=35.6 ms
1008 bytes from 10.0.0.10: icmp_seq=91 ttl=64 time=47.3 ms
1008 bytes from 10.0.0.10: icmp_seq=92 ttl=64 time=56.8 ms
1008 bytes from 10.0.0.10: icmp_seq=93 ttl=64 time=64.9 ms
1008 bytes from 10.0.0.10: icmp_seq=94 ttl=64 time=71.3 ms
1008 bytes from 10.0.0.10: icmp_seq=95 ttl=64 time=79.3 ms
1008 bytes from 10.0.0.10: icmp_seq=96 ttl=64 time=85.9 ms
1008 bytes from 10.0.0.10: icmp_seq=97 ttl=64 time=97.2 ms
1008 bytes from 10.0.0.10: icmp_seq=98 ttl=64 time=105 ms
1008 bytes from 10.0.0.10: icmp_seq=99 ttl=64 time=115 ms
1008 bytes from 10.0.0.10: icmp_seq=100 ttl=64 time=121 ms
1008 bytes from 10.0.0.10: icmp_seq=101 ttl=64 time=137 ms
1008 bytes from 10.0.0.10: icmp_seq=102 ttl=64 time=145 ms
1008 bytes from 10.0.0.10: icmp_seq=103 ttl=64 time=147 ms
1008 bytes from 10.0.0.10: icmp_seq=104 ttl=64 time=162 ms
1008 bytes from 10.0.0.10: icmp_seq=105 ttl=64 time=171 ms
1008 bytes from 10.0.0.10: icmp_seq=106 ttl=64 time=182 ms
1008 bytes from 10.0.0.10: icmp_seq=107 ttl=64 time=192 ms
1008 bytes from 10.0.0.10: icmp_seq=108 ttl=64 time=194 ms
1008 bytes from 10.0.0.10: icmp_seq=109 ttl=64 time=206 ms
1008 bytes from 10.0.0.10: icmp_seq=110 ttl=64 time=213 ms
1008 bytes from 10.0.0.10: icmp_seq=111 ttl=64 time=228 ms
1008 bytes from 10.0.0.10: icmp_seq=112 ttl=64 time=236 ms
1008 bytes from 10.0.0.10: icmp_seq=113 ttl=64 time=247 ms
1008 bytes from 10.0.0.10: icmp_seq=114 ttl=64 time=259 ms
1008 bytes from 10.0.0.10: icmp_seq=115 ttl=64 time=274 ms
1008 bytes from 10.0.0.10: icmp_seq=116 ttl=64 time=288 ms
1008 bytes from 10.0.0.10: icmp_seq=117 ttl=64 time=294 ms
1008 bytes from 10.0.0.10: icmp_seq=118 ttl=64 time=307 ms
1008 bytes from 10.0.0.10: icmp_seq=119 ttl=64 time=324 ms
1008 bytes from 10.0.0.10: icmp_seq=120 ttl=64 time=336 ms
1008 bytes from 10.0.0.10: icmp_seq=121 ttl=64 time=356 ms
1008 bytes from 10.0.0.10: icmp_seq=122 ttl=64 time=376 ms
1008 bytes from 10.0.0.10: icmp_seq=123 ttl=64 time=389 ms
1008 bytes from 10.0.0.10: icmp_seq=124 ttl=64 time=400 ms
1008 bytes from 10.0.0.10: icmp_seq=125 ttl=64 time=420 ms
1008 bytes from 10.0.0.10: icmp_seq=126 ttl=64 time=440 ms
1008 bytes from 10.0.0.10: icmp_seq=127 ttl=64 time=455 ms
1008 bytes from 10.0.0.10: icmp_seq=128 ttl=64 time=465 ms
1008 bytes from 10.0.0.10: icmp_seq=129 ttl=64 time=482 ms
1008 bytes from 10.0.0.10: icmp_seq=130 ttl=64 time=504 ms
1008 bytes from 10.0.0.10: icmp_seq=131 ttl=64 time=500 ms
1008 bytes from 10.0.0.10: icmp_seq=132 ttl=64 time=505 ms
1008 bytes from 10.0.0.10: icmp_seq=133 ttl=64 time=523 ms
1008 bytes from 10.0.0.10: icmp_seq=134 ttl=64 time=532 ms
1008 bytes from 10.0.0.10: icmp_seq=135 ttl=64 time=552 ms
1008 bytes from 10.0.0.10: icmp_seq=136 ttl=64 time=572 ms
1008 bytes from 10.0.0.10: icmp_seq=137 ttl=64 time=592 ms
1008 bytes from 10.0.0.10: icmp_seq=138 ttl=64 time=614 ms
1008 bytes from 10.0.0.10: icmp_seq=139 ttl=64 time=629 ms
1008 bytes from 10.0.0.10: icmp_seq=140 ttl=64 time=647 ms
1008 bytes from 10.0.0.10: icmp_seq=141 ttl=64 time=662 ms
1008 bytes from 10.0.0.10: icmp_seq=142 ttl=64 time=679 ms
1008 bytes from 10.0.0.10: icmp_seq=143 ttl=64 time=691 ms
1008 bytes from 10.0.0.10: icmp_seq=144 ttl=64 time=690 ms
1008 bytes from 10.0.0.10: icmp_seq=145 ttl=64 time=728 ms
1008 bytes from 10.0.0.10: icmp_seq=146 ttl=64 time=744 ms
1008 bytes from 10.0.0.10: icmp_seq=147 ttl=64 time=765 ms
1008 bytes from 10.0.0.10: icmp_seq=148 ttl=64 time=781 ms
1008 bytes from 10.0.0.10: icmp_seq=149 ttl=64 time=807 ms
1008 bytes from 10.0.0.10: icmp_seq=150 ttl=64 time=822 ms
1008 bytes from 10.0.0.10: icmp_seq=151 ttl=64 time=844 ms
1008 bytes from 10.0.0.10: icmp_seq=152 ttl=64 time=874 ms
1008 bytes from 10.0.0.10: icmp_seq=153 ttl=64 time=894 ms
1008 bytes from 10.0.0.10: icmp_seq=154 ttl=64 time=908 ms
1008 bytes from 10.0.0.10: icmp_seq=155 ttl=64 time=930 ms
1008 bytes from 10.0.0.10: icmp_seq=156 ttl=64 time=958 ms
1008 bytes from 10.0.0.10: icmp_seq=157 ttl=64 time=984 ms
1008 bytes from 10.0.0.10: icmp_seq=158 ttl=64 time=1001 ms
1008 bytes from 10.0.0.10: icmp_seq=159 ttl=64 time=1013 ms
1008 bytes from 10.0.0.10: icmp_seq=160 ttl=64 time=1040 ms
1008 bytes from 10.0.0.10: icmp_seq=161 ttl=64 time=1051 ms
1008 bytes from 10.0.0.10: icmp_seq=162 ttl=64 time=1065 ms
1008 bytes from 10.0.0.10: icmp_seq=163 ttl=64 time=1086 ms
1008 bytes from 10.0.0.10: icmp_seq=164 ttl=64 time=1103 ms
1008 bytes from 10.0.0.10: icmp_seq=165 ttl=64 time=1132 ms
1008 bytes from 10.0.0.10: icmp_seq=166 ttl=64 time=1157 ms
1008 bytes from 10.0.0.10: icmp_seq=167 ttl=64 time=1178 ms
1008 bytes from 10.0.0.10: icmp_seq=168 ttl=64 time=1216 ms
1008 bytes from 10.0.0.10: icmp_seq=169 ttl=64 time=1280 ms
1008 bytes from 10.0.0.10: icmp_seq=170 ttl=64 time=1307 ms
1008 bytes from 10.0.0.10: icmp_seq=171 ttl=64 time=1341 ms
1008 bytes from 10.0.0.10: icmp_seq=172 ttl=64 time=1390 ms
1008 bytes from 10.0.0.10: icmp_seq=173 ttl=64 time=1427 ms
1008 bytes from 10.0.0.10: icmp_seq=174 ttl=64 time=1436 ms
1008 bytes from 10.0.0.10: icmp_seq=176 ttl=64 time=1543 ms
1008 bytes from 10.0.0.10: icmp_seq=177 ttl=64 time=1560 ms
1008 bytes from 10.0.0.10: icmp_seq=178 ttl=64 time=1594 ms
1008 bytes from 10.0.0.10: icmp_seq=179 ttl=64 time=1621 ms
1008 bytes from 10.0.0.10: icmp_seq=175 ttl=64 time=1667 ms
1008 bytes from 10.0.0.10: icmp_seq=180 ttl=64 time=1637 ms
1008 bytes from 10.0.0.10: icmp_seq=181 ttl=64 time=1680 ms
1008 bytes from 10.0.0.10: icmp_seq=182 ttl=64 time=1695 ms
1008 bytes from 10.0.0.10: icmp_seq=183 ttl=64 time=1714 ms
1008 bytes from 10.0.0.10: icmp_seq=184 ttl=64 time=1741 ms
1008 bytes from 10.0.0.10: icmp_seq=185 ttl=64 time=1756 ms
1008 bytes from 10.0.0.10: icmp_seq=187 ttl=64 time=1794 ms
1008 bytes from 10.0.0.10: icmp_seq=186 ttl=64 time=1804 ms
1008 bytes from 10.0.0.10: icmp_seq=189 ttl=64 time=1840 ms
1008 bytes from 10.0.0.10: icmp_seq=188 ttl=64 time=1855 ms
1008 bytes from 10.0.0.10: icmp_seq=190 ttl=64 time=1860 ms
1008 bytes from 10.0.0.10: icmp_seq=191 ttl=64 time=1874 ms
1008 bytes from 10.0.0.10: icmp_seq=192 ttl=64 time=1909 ms
1008 bytes from 10.0.0.10: icmp_seq=194 ttl=64 time=1933 ms
1008 bytes from 10.0.0.10: icmp_seq=193 ttl=64 time=1933 ms
1008 bytes from 10.0.0.10: icmp_seq=195 ttl=64 time=1960 ms
1008 bytes from 10.0.0.10: icmp_seq=197 ttl=64 time=1968 ms
1008 bytes from 10.0.0.10: icmp_seq=198 ttl=64 time=1982 ms
1008 bytes from 10.0.0.10: icmp_seq=196 ttl=64 time=1981 ms
1008 bytes from 10.0.0.10: icmp_seq=199 ttl=64 time=2004 ms
1008 bytes from 10.0.0.10: icmp_seq=200 ttl=64 time=2021 ms
1008 bytes from 10.0.0.10: icmp_seq=202 ttl=64 time=2068 ms
