PING 10.0.0.10 (10.0.0.10) 1000(1028) bytes of data.
1008 bytes from 10.0.0.10: icmp_seq=1 ttl=64 time=0.018 ms
1008 bytes from 10.0.0.10: icmp_seq=2 ttl=64 time=0.021 ms
1008 bytes from 10.0.0.10: icmp_seq=3 ttl=64 time=0.246 ms
1008 bytes from 10.0.0.10: icmp_seq=4 ttl=64 time=0.012 ms
1008 bytes from 10.0.0.10: icmp_seq=5 ttl=64 time=0.011 ms
1008 bytes from 10.0.0.10: icmp_seq=6 ttl=64 time=2.16 ms
1008 bytes from 10.0.0.10: icmp_seq=7 ttl=64 time=0.438 ms
1008 bytes from 10.0.0.10: icmp_seq=8 ttl=64 time=0.015 ms
1008 bytes from 10.0.0.10: icmp_seq=9 ttl=64 time=0.011 ms
1008 bytes from 10.0.0.10: icmp_seq=10 ttl=64 time=1.96 ms
1008 bytes from 10.0.0.10: icmp_seq=11 ttl=64 time=3.22 ms
1008 bytes from 10.0.0.10: icmp_seq=12 ttl=64 time=0.035 ms
1008 bytes from 10.0.0.10: icmp_seq=13 ttl=64 time=0.022 ms
1008 bytes from 10.0.0.10: icmp_seq=14 ttl=64 time=0.023 ms
1008 bytes from 10.0.0.10: icmp_seq=15 ttl=64 time=0.017 ms
1008 bytes from 10.0.0.10: icmp_seq=16 ttl=64 time=0.011 ms
1008 bytes from 10.0.0.10: icmp_seq=17 ttl=64 time=3.72 ms
1008 bytes from 10.0.0.10: icmp_seq=18 ttl=64 time=0.017 ms
1008 bytes from 10.0.0.10: icmp_seq=19 ttl=64 time=0.832 ms
1008 bytes from 10.0.0.10: icmp_seq=20 ttl=64 time=4.82 ms
1008 bytes from 10.0.0.10: icmp_seq=21 ttl=64 time=2.97 ms
1008 bytes from 10.0.0.10: icmp_seq=22 ttl=64 time=0.010 ms
1008 bytes from 10.0.0.10: icmp_seq=23 ttl=64 time=0.387 ms
1008 bytes from 10.0.0.10: icmp_seq=24 ttl=64 time=0.017 ms
1008 bytes from 10.0.0.10: icmp_seq=25 ttl=64 time=2.26 ms
1008 bytes from 10.0.0.10: icmp_seq=26 ttl=64 time=0.014 ms
1008 bytes from 10.0.0.10: icmp_seq=27 ttl=64 time=0.020 ms
1008 bytes from 10.0.0.10: icmp_seq=28 ttl=64 time=0.013 ms
1008 bytes from 10.0.0.10: icmp_seq=29 ttl=64 time=0.511 ms
1008 bytes from 10.0.0.10: icmp_seq=30 ttl=64 time=1.23 ms
1008 bytes from 10.0.0.10: icmp_seq=31 ttl=64 time=0.013 ms
1008 bytes from 10.0.0.10: icmp_seq=32 ttl=64 time=0.012 ms
1008 bytes from 10.0.0.10: icmp_seq=33 ttl=64 time=2.97 ms
1008 bytes from 10.0.0.10: icmp_seq=34 ttl=64 time=0.508 ms
1008 bytes from 10.0.0.10: icmp_seq=35 ttl=64 time=0.014 ms
1008 bytes from 10.0.0.10: icmp_seq=36 ttl=64 time=0.014 ms
1008 bytes from 10.0.0.10: icmp_seq=37 ttl=64 time=0.016 ms
1008 bytes from 10.0.0.10: icmp_seq=38 ttl=64 time=0.016 ms
1008 bytes from 10.0.0.10: icmp_seq=39 ttl=64 time=0.017 ms
1008 bytes from 10.0.0.10: icmp_seq=40 ttl=64 time=0.018 ms
1008 bytes from 10.0.0.10: icmp_seq=41 ttl=64 time=0.016 ms
1008 bytes from 10.0.0.10: icmp_seq=42 ttl=64 time=0.014 ms
1008 bytes from 10.0.0.10: icmp_seq=43 ttl=64 time=1.44 ms
1008 bytes from 10.0.0.10: icmp_seq=44 ttl=64 time=0.018 ms
1008 bytes from 10.0.0.10: icmp_seq=45 ttl=64 time=0.012 ms
1008 bytes from 10.0.0.10: icmp_seq=46 ttl=64 time=0.805 ms
1008 bytes from 10.0.0.10: icmp_seq=47 ttl=64 time=0.018 ms
1008 bytes from 10.0.0.10: icmp_seq=48 ttl=64 time=0.018 ms
1008 bytes from 10.0.0.10: icmp_seq=49 ttl=64 time=0.758 ms
1008 bytes from 10.0.0.10: icmp_seq=50 ttl=64 time=0.018 ms
1008 bytes from 10.0.0.10: icmp_seq=51 ttl=64 time=1.10 ms
1008 bytes from 10.0.0.10: icmp_seq=52 ttl=64 time=0.010 ms
1008 bytes from 10.0.0.10: icmp_seq=53 ttl=64 time=0.023 ms
1008 bytes from 10.0.0.10: icmp_seq=54 ttl=64 time=0.018 ms
1008 bytes from 10.0.0.10: icmp_seq=55 ttl=64 time=0.014 ms
1008 bytes from 10.0.0.10: icmp_seq=56 ttl=64 time=0.016 ms
1008 bytes from 10.0.0.10: icmp_seq=57 ttl=64 time=0.017 ms
1008 bytes from 10.0.0.10: icmp_seq=58 ttl=64 time=0.913 ms
1008 bytes from 10.0.0.10: icmp_seq=59 ttl=64 time=0.969 ms
1008 bytes from 10.0.0.10: icmp_seq=60 ttl=64 time=0.448 ms
1008 bytes from 10.0.0.10: icmp_seq=61 ttl=64 time=0.020 ms
1008 bytes from 10.0.0.10: icmp_seq=62 ttl=64 time=0.015 ms
1008 bytes from 10.0.0.10: icmp_seq=63 ttl=64 time=0.014 ms
