PING 10.0.0.9 (10.0.0.9) 1000(1028) bytes of data.
1008 bytes from 10.0.0.9: icmp_seq=7 ttl=64 time=10.5 ms
1008 bytes from 10.0.0.9: icmp_seq=8 ttl=64 time=14.8 ms
1008 bytes from 10.0.0.9: icmp_seq=9 ttl=64 time=18.5 ms
1008 bytes from 10.0.0.9: icmp_seq=10 ttl=64 time=26.6 ms
1008 bytes from 10.0.0.9: icmp_seq=11 ttl=64 time=33.9 ms
1008 bytes from 10.0.0.9: icmp_seq=12 ttl=64 time=38.0 ms
1008 bytes from 10.0.0.9: icmp_seq=13 ttl=64 time=53.5 ms
1008 bytes from 10.0.0.9: icmp_seq=14 ttl=64 time=56.8 ms
1008 bytes from 10.0.0.9: icmp_seq=15 ttl=64 time=67.0 ms
1008 bytes from 10.0.0.9: icmp_seq=16 ttl=64 time=76.6 ms
1008 bytes from 10.0.0.9: icmp_seq=17 ttl=64 time=79.2 ms
1008 bytes from 10.0.0.9: icmp_seq=18 ttl=64 time=89.3 ms
1008 bytes from 10.0.0.9: icmp_seq=19 ttl=64 time=99.4 ms
1008 bytes from 10.0.0.9: icmp_seq=20 ttl=64 time=107 ms
1008 bytes from 10.0.0.9: icmp_seq=21 ttl=64 time=116 ms
1008 bytes from 10.0.0.9: icmp_seq=22 ttl=64 time=130 ms
1008 bytes from 10.0.0.9: icmp_seq=23 ttl=64 time=134 ms
1008 bytes from 10.0.0.9: icmp_seq=24 ttl=64 time=147 ms
1008 bytes from 10.0.0.9: icmp_seq=25 ttl=64 time=153 ms
1008 bytes from 10.0.0.9: icmp_seq=26 ttl=64 time=161 ms
1008 bytes from 10.0.0.9: icmp_seq=27 ttl=64 time=170 ms
1008 bytes from 10.0.0.9: icmp_seq=28 ttl=64 time=180 ms
1008 bytes from 10.0.0.9: icmp_seq=29 ttl=64 time=189 ms
1008 bytes from 10.0.0.9: icmp_seq=30 ttl=64 time=197 ms
1008 bytes from 10.0.0.9: icmp_seq=31 ttl=64 time=204 ms
1008 bytes from 10.0.0.9: icmp_seq=32 ttl=64 time=213 ms
1008 bytes from 10.0.0.9: icmp_seq=33 ttl=64 time=227 ms
1008 bytes from 10.0.0.9: icmp_seq=34 ttl=64 time=239 ms
1008 bytes from 10.0.0.9: icmp_seq=35 ttl=64 time=240 ms
1008 bytes from 10.0.0.9: icmp_seq=36 ttl=64 time=254 ms
1008 bytes from 10.0.0.9: icmp_seq=37 ttl=64 time=261 ms
1008 bytes from 10.0.0.9: icmp_seq=38 ttl=64 time=286 ms
1008 bytes from 10.0.0.9: icmp_seq=39 ttl=64 time=294 ms
1008 bytes from 10.0.0.9: icmp_seq=40 ttl=64 time=308 ms
1008 bytes from 10.0.0.9: icmp_seq=41 ttl=64 time=311 ms
1008 bytes from 10.0.0.9: icmp_seq=42 ttl=64 time=327 ms
1008 bytes from 10.0.0.9: icmp_seq=43 ttl=64 time=342 ms
1008 bytes from 10.0.0.9: icmp_seq=44 ttl=64 time=377 ms
1008 bytes from 10.0.0.9: icmp_seq=45 ttl=64 time=387 ms
1008 bytes from 10.0.0.9: icmp_seq=46 ttl=64 time=400 ms
1008 bytes from 10.0.0.9: icmp_seq=47 ttl=64 time=413 ms
1008 bytes from 10.0.0.9: icmp_seq=48 ttl=64 time=435 ms
1008 bytes from 10.0.0.9: icmp_seq=49 ttl=64 time=448 ms
1008 bytes from 10.0.0.9: icmp_seq=50 ttl=64 time=471 ms
1008 bytes from 10.0.0.9: icmp_seq=51 ttl=64 time=484 ms
1008 bytes from 10.0.0.9: icmp_seq=52 ttl=64 time=503 ms
1008 bytes from 10.0.0.9: icmp_seq=53 ttl=64 time=509 ms
1008 bytes from 10.0.0.9: icmp_seq=54 ttl=64 time=536 ms
1008 bytes from 10.0.0.9: icmp_seq=55 ttl=64 time=530 ms
1008 bytes from 10.0.0.9: icmp_seq=56 ttl=64 time=549 ms
1008 bytes from 10.0.0.9: icmp_seq=57 ttl=64 time=570 ms
1008 bytes from 10.0.0.9: icmp_seq=58 ttl=64 time=585 ms
1008 bytes from 10.0.0.9: icmp_seq=59 ttl=64 time=607 ms
1008 bytes from 10.0.0.9: icmp_seq=60 ttl=64 time=626 ms
1008 bytes from 10.0.0.9: icmp_seq=61 ttl=64 time=642 ms
1008 bytes from 10.0.0.9: icmp_seq=62 ttl=64 time=658 ms
1008 bytes from 10.0.0.9: icmp_seq=63 ttl=64 time=676 ms
1008 bytes from 10.0.0.9: icmp_seq=64 ttl=64 time=696 ms
1008 bytes from 10.0.0.9: icmp_seq=65 ttl=64 time=715 ms
1008 bytes from 10.0.0.9: icmp_seq=66 ttl=64 time=728 ms
1008 bytes from 10.0.0.9: icmp_seq=67 ttl=64 time=739 ms
1008 bytes from 10.0.0.9: icmp_seq=68 ttl=64 time=762 ms
1008 bytes from 10.0.0.9: icmp_seq=69 ttl=64 time=775 ms
1008 bytes from 10.0.0.9: icmp_seq=70 ttl=64 time=797 ms
1008 bytes from 10.0.0.9: icmp_seq=71 ttl=64 time=815 ms
1008 bytes from 10.0.0.9: icmp_seq=72 ttl=64 time=826 ms
1008 bytes from 10.0.0.9: icmp_seq=73 ttl=64 time=848 ms
1008 bytes from 10.0.0.9: icmp_seq=74 ttl=64 time=866 ms
1008 bytes from 10.0.0.9: icmp_seq=75 ttl=64 time=880 ms
1008 bytes from 10.0.0.9: icmp_seq=76 ttl=64 time=898 ms
1008 bytes from 10.0.0.9: icmp_seq=77 ttl=64 time=916 ms
1008 bytes from 10.0.0.9: icmp_seq=78 ttl=64 time=924 ms
1008 bytes from 10.0.0.9: icmp_seq=79 ttl=64 time=941 ms
1008 bytes from 10.0.0.9: icmp_seq=80 ttl=64 time=952 ms
1008 bytes from 10.0.0.9: icmp_seq=81 ttl=64 time=970 ms
1008 bytes from 10.0.0.9: icmp_seq=82 ttl=64 time=980 ms
1008 bytes from 10.0.0.9: icmp_seq=83 ttl=64 time=995 ms
1008 bytes from 10.0.0.9: icmp_seq=84 ttl=64 time=1015 ms
1008 bytes from 10.0.0.9: icmp_seq=85 ttl=64 time=1026 ms
1008 bytes from 10.0.0.9: icmp_seq=86 ttl=64 time=1044 ms
1008 bytes from 10.0.0.9: icmp_seq=87 ttl=64 time=1062 ms
1008 bytes from 10.0.0.9: icmp_seq=88 ttl=64 time=1071 ms
1008 bytes from 10.0.0.9: icmp_seq=89 ttl=64 time=1085 ms
1008 bytes from 10.0.0.9: icmp_seq=90 ttl=64 time=1100 ms
1008 bytes from 10.0.0.9: icmp_seq=91 ttl=64 time=1121 ms
1008 bytes from 10.0.0.9: icmp_seq=92 ttl=64 time=1138 ms
1008 bytes from 10.0.0.9: icmp_seq=93 ttl=64 time=1159 ms
1008 bytes from 10.0.0.9: icmp_seq=94 ttl=64 time=1219 ms
1008 bytes from 10.0.0.9: icmp_seq=95 ttl=64 time=1236 ms
1008 bytes from 10.0.0.9: icmp_seq=96 ttl=64 time=1236 ms
