PING 10.0.0.6 (10.0.0.6) 1000(1028) bytes of data.
1008 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=2356 ms
1008 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=2361 ms
1008 bytes from 10.0.0.6: icmp_seq=8 ttl=64 time=2363 ms
1008 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=2359 ms
1008 bytes from 10.0.0.6: icmp_seq=10 ttl=64 time=2358 ms
1008 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=2358 ms
1008 bytes from 10.0.0.6: icmp_seq=12 ttl=64 time=2365 ms
1008 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=2365 ms
1008 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=2363 ms
1008 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=2375 ms
1008 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=2365 ms
1008 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=2356 ms
1008 bytes from 10.0.0.6: icmp_seq=22 ttl=64 time=2341 ms
1008 bytes from 10.0.0.6: icmp_seq=23 ttl=64 time=2344 ms
1008 bytes from 10.0.0.6: icmp_seq=29 ttl=64 time=2327 ms
1008 bytes from 10.0.0.6: icmp_seq=31 ttl=64 time=2324 ms
1008 bytes from 10.0.0.6: icmp_seq=32 ttl=64 time=2325 ms
1008 bytes from 10.0.0.6: icmp_seq=33 ttl=64 time=2330 ms
1008 bytes from 10.0.0.6: icmp_seq=36 ttl=64 time=2276 ms
1008 bytes from 10.0.0.6: icmp_seq=43 ttl=64 time=2264 ms
1008 bytes from 10.0.0.6: icmp_seq=46 ttl=64 time=2244 ms
1008 bytes from 10.0.0.6: icmp_seq=50 ttl=64 time=2243 ms
1008 bytes from 10.0.0.6: icmp_seq=51 ttl=64 time=2232 ms
1008 bytes from 10.0.0.6: icmp_seq=52 ttl=64 time=2239 ms
1008 bytes from 10.0.0.6: icmp_seq=58 ttl=64 time=2203 ms
1008 bytes from 10.0.0.6: icmp_seq=59 ttl=64 time=2201 ms
1008 bytes from 10.0.0.6: icmp_seq=63 ttl=64 time=2184 ms
1008 bytes from 10.0.0.6: icmp_seq=65 ttl=64 time=2180 ms
1008 bytes from 10.0.0.6: icmp_seq=66 ttl=64 time=2178 ms
1008 bytes from 10.0.0.6: icmp_seq=68 ttl=64 time=2180 ms
1008 bytes from 10.0.0.6: icmp_seq=73 ttl=64 time=2169 ms
1008 bytes from 10.0.0.6: icmp_seq=74 ttl=64 time=2166 ms
1008 bytes from 10.0.0.6: icmp_seq=75 ttl=64 time=2174 ms
1008 bytes from 10.0.0.6: icmp_seq=78 ttl=64 time=2166 ms
1008 bytes from 10.0.0.6: icmp_seq=79 ttl=64 time=2168 ms
1008 bytes from 10.0.0.6: icmp_seq=80 ttl=64 time=2177 ms
1008 bytes from 10.0.0.6: icmp_seq=81 ttl=64 time=2180 ms
1008 bytes from 10.0.0.6: icmp_seq=82 ttl=64 time=2223 ms
1008 bytes from 10.0.0.6: icmp_seq=84 ttl=64 time=2222 ms
1008 bytes from 10.0.0.6: icmp_seq=85 ttl=64 time=2232 ms
1008 bytes from 10.0.0.6: icmp_seq=86 ttl=64 time=2241 ms
1008 bytes from 10.0.0.6: icmp_seq=87 ttl=64 time=2249 ms
1008 bytes from 10.0.0.6: icmp_seq=89 ttl=64 time=2242 ms
1008 bytes from 10.0.0.6: icmp_seq=92 ttl=64 time=2245 ms
1008 bytes from 10.0.0.6: icmp_seq=93 ttl=64 time=2239 ms
1008 bytes from 10.0.0.6: icmp_seq=94 ttl=64 time=2132 ms
1008 bytes from 10.0.0.6: icmp_seq=95 ttl=64 time=2126 ms
1008 bytes from 10.0.0.6: icmp_seq=96 ttl=64 time=2119 ms
1008 bytes from 10.0.0.6: icmp_seq=97 ttl=64 time=2113 ms
1008 bytes from 10.0.0.6: icmp_seq=98 ttl=64 time=2109 ms
1008 bytes from 10.0.0.6: icmp_seq=100 ttl=64 time=2099 ms
1008 bytes from 10.0.0.6: icmp_seq=101 ttl=64 time=2099 ms
1008 bytes from 10.0.0.6: icmp_seq=102 ttl=64 time=2113 ms
1008 bytes from 10.0.0.6: icmp_seq=103 ttl=64 time=2119 ms
1008 bytes from 10.0.0.6: icmp_seq=105 ttl=64 time=2106 ms
1008 bytes from 10.0.0.6: icmp_seq=106 ttl=64 time=2102 ms
1008 bytes from 10.0.0.6: icmp_seq=107 ttl=64 time=2103 ms
1008 bytes from 10.0.0.6: icmp_seq=109 ttl=64 time=2101 ms
1008 bytes from 10.0.0.6: icmp_seq=115 ttl=64 time=2065 ms
1008 bytes from 10.0.0.6: icmp_seq=116 ttl=64 time=2066 ms
1008 bytes from 10.0.0.6: icmp_seq=119 ttl=64 time=2043 ms
1008 bytes from 10.0.0.6: icmp_seq=121 ttl=64 time=2032 ms
1008 bytes from 10.0.0.6: icmp_seq=122 ttl=64 time=2032 ms
1008 bytes from 10.0.0.6: icmp_seq=129 ttl=64 time=1966 ms
1008 bytes from 10.0.0.6: icmp_seq=130 ttl=64 time=1949 ms
1008 bytes from 10.0.0.6: icmp_seq=133 ttl=64 time=1929 ms
1008 bytes from 10.0.0.6: icmp_seq=134 ttl=64 time=1931 ms
1008 bytes from 10.0.0.6: icmp_seq=137 ttl=64 time=1907 ms
1008 bytes from 10.0.0.6: icmp_seq=138 ttl=64 time=1901 ms
1008 bytes from 10.0.0.6: icmp_seq=139 ttl=64 time=1896 ms
1008 bytes from 10.0.0.6: icmp_seq=140 ttl=64 time=1894 ms
1008 bytes from 10.0.0.6: icmp_seq=147 ttl=64 time=1839 ms
1008 bytes from 10.0.0.6: icmp_seq=151 ttl=64 time=1776 ms
1008 bytes from 10.0.0.6: icmp_seq=159 ttl=64 time=1714 ms
1008 bytes from 10.0.0.6: icmp_seq=160 ttl=64 time=1712 ms
1008 bytes from 10.0.0.6: icmp_seq=161 ttl=64 time=1707 ms
1008 bytes from 10.0.0.6: icmp_seq=168 ttl=64 time=1657 ms
1008 bytes from 10.0.0.6: icmp_seq=171 ttl=64 time=1630 ms
1008 bytes from 10.0.0.6: icmp_seq=173 ttl=64 time=1664 ms
1008 bytes from 10.0.0.6: icmp_seq=179 ttl=64 time=1645 ms
1008 bytes from 10.0.0.6: icmp_seq=181 ttl=64 time=1624 ms
1008 bytes from 10.0.0.6: icmp_seq=183 ttl=64 time=1606 ms
1008 bytes from 10.0.0.6: icmp_seq=191 ttl=64 time=1523 ms
1008 bytes from 10.0.0.6: icmp_seq=194 ttl=64 time=1497 ms
1008 bytes from 10.0.0.6: icmp_seq=195 ttl=64 time=1495 ms
1008 bytes from 10.0.0.6: icmp_seq=196 ttl=64 time=1486 ms
1008 bytes from 10.0.0.6: icmp_seq=198 ttl=64 time=1465 ms
1008 bytes from 10.0.0.6: icmp_seq=199 ttl=64 time=1458 ms
1008 bytes from 10.0.0.6: icmp_seq=200 ttl=64 time=1456 ms
1008 bytes from 10.0.0.6: icmp_seq=202 ttl=64 time=1436 ms
1008 bytes from 10.0.0.6: icmp_seq=209 ttl=64 time=1317 ms
1008 bytes from 10.0.0.6: icmp_seq=211 ttl=64 time=1290 ms
1008 bytes from 10.0.0.6: icmp_seq=212 ttl=64 time=1286 ms
1008 bytes from 10.0.0.6: icmp_seq=214 ttl=64 time=1272 ms
1008 bytes from 10.0.0.6: icmp_seq=215 ttl=64 time=1265 ms
1008 bytes from 10.0.0.6: icmp_seq=216 ttl=64 time=1260 ms
1008 bytes from 10.0.0.6: icmp_seq=218 ttl=64 time=1268 ms
1008 bytes from 10.0.0.6: icmp_seq=222 ttl=64 time=1208 ms
1008 bytes from 10.0.0.6: icmp_seq=225 ttl=64 time=1175 ms
1008 bytes from 10.0.0.6: icmp_seq=226 ttl=64 time=1166 ms
1008 bytes from 10.0.0.6: icmp_seq=227 ttl=64 time=1158 ms
1008 bytes from 10.0.0.6: icmp_seq=228 ttl=64 time=1166 ms
1008 bytes from 10.0.0.6: icmp_seq=229 ttl=64 time=1169 ms
1008 bytes from 10.0.0.6: icmp_seq=231 ttl=64 time=1171 ms
1008 bytes from 10.0.0.6: icmp_seq=232 ttl=64 time=1168 ms
1008 bytes from 10.0.0.6: icmp_seq=233 ttl=64 time=1172 ms
1008 bytes from 10.0.0.6: icmp_seq=235 ttl=64 time=1172 ms
1008 bytes from 10.0.0.6: icmp_seq=237 ttl=64 time=1164 ms
1008 bytes from 10.0.0.6: icmp_seq=238 ttl=64 time=1167 ms
1008 bytes from 10.0.0.6: icmp_seq=239 ttl=64 time=1165 ms
1008 bytes from 10.0.0.6: icmp_seq=240 ttl=64 time=1167 ms
1008 bytes from 10.0.0.6: icmp_seq=242 ttl=64 time=1170 ms
1008 bytes from 10.0.0.6: icmp_seq=243 ttl=64 time=1169 ms
1008 bytes from 10.0.0.6: icmp_seq=244 ttl=64 time=1167 ms
1008 bytes from 10.0.0.6: icmp_seq=247 ttl=64 time=1170 ms
1008 bytes from 10.0.0.6: icmp_seq=248 ttl=64 time=1170 ms
1008 bytes from 10.0.0.6: icmp_seq=249 ttl=64 time=1173 ms
1008 bytes from 10.0.0.6: icmp_seq=250 ttl=64 time=1168 ms

--- 10.0.0.6 ping statistics ---
250 packets transmitted, 118 received, 52% packet loss, time 4301ms
rtt min/avg/max/mdev = 1158.616/1856.623/2375.607/438.266 ms, pipe 134
path = [2, 5, 4, 6]
duration=9155
