PING 10.0.0.6 (10.0.0.6) 1000(1028) bytes of data.
1008 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=2710 ms
1008 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=2617 ms
1008 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=2633 ms
1008 bytes from 10.0.0.6: icmp_seq=6 ttl=64 time=2644 ms
1008 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=2647 ms
1008 bytes from 10.0.0.6: icmp_seq=14 ttl=64 time=2537 ms
1008 bytes from 10.0.0.6: icmp_seq=31 ttl=64 time=2371 ms
1008 bytes from 10.0.0.6: icmp_seq=48 ttl=64 time=2227 ms
1008 bytes from 10.0.0.6: icmp_seq=49 ttl=64 time=2219 ms
1008 bytes from 10.0.0.6: icmp_seq=50 ttl=64 time=2214 ms
1008 bytes from 10.0.0.6: icmp_seq=57 ttl=64 time=2178 ms
1008 bytes from 10.0.0.6: icmp_seq=58 ttl=64 time=2175 ms
1008 bytes from 10.0.0.6: icmp_seq=60 ttl=64 time=2176 ms
1008 bytes from 10.0.0.6: icmp_seq=63 ttl=64 time=2172 ms
1008 bytes from 10.0.0.6: icmp_seq=64 ttl=64 time=2173 ms
1008 bytes from 10.0.0.6: icmp_seq=65 ttl=64 time=2183 ms
1008 bytes from 10.0.0.6: icmp_seq=66 ttl=64 time=2180 ms
1008 bytes from 10.0.0.6: icmp_seq=67 ttl=64 time=2224 ms
1008 bytes from 10.0.0.6: icmp_seq=68 ttl=64 time=2225 ms
1008 bytes from 10.0.0.6: icmp_seq=69 ttl=64 time=2229 ms
1008 bytes from 10.0.0.6: icmp_seq=70 ttl=64 time=2239 ms
1008 bytes from 10.0.0.6: icmp_seq=75 ttl=64 time=2241 ms
1008 bytes from 10.0.0.6: icmp_seq=76 ttl=64 time=2244 ms
1008 bytes from 10.0.0.6: icmp_seq=77 ttl=64 time=2103 ms
1008 bytes from 10.0.0.6: icmp_seq=82 ttl=64 time=2110 ms
1008 bytes from 10.0.0.6: icmp_seq=84 ttl=64 time=2100 ms
1008 bytes from 10.0.0.6: icmp_seq=85 ttl=64 time=2093 ms
1008 bytes from 10.0.0.6: icmp_seq=93 ttl=64 time=2043 ms
1008 bytes from 10.0.0.6: icmp_seq=106 ttl=64 time=1926 ms
1008 bytes from 10.0.0.6: icmp_seq=118 ttl=64 time=1836 ms
1008 bytes from 10.0.0.6: icmp_seq=124 ttl=64 time=1735 ms
1008 bytes from 10.0.0.6: icmp_seq=127 ttl=64 time=1712 ms
1008 bytes from 10.0.0.6: icmp_seq=129 ttl=64 time=1701 ms
1008 bytes from 10.0.0.6: icmp_seq=133 ttl=64 time=1665 ms
1008 bytes from 10.0.0.6: icmp_seq=135 ttl=64 time=1662 ms
1008 bytes from 10.0.0.6: icmp_seq=140 ttl=64 time=1665 ms
1008 bytes from 10.0.0.6: icmp_seq=141 ttl=64 time=1660 ms
1008 bytes from 10.0.0.6: icmp_seq=143 ttl=64 time=1654 ms
1008 bytes from 10.0.0.6: icmp_seq=145 ttl=64 time=1639 ms
1008 bytes from 10.0.0.6: icmp_seq=146 ttl=64 time=1640 ms
1008 bytes from 10.0.0.6: icmp_seq=150 ttl=64 time=1607 ms
1008 bytes from 10.0.0.6: icmp_seq=160 ttl=64 time=1498 ms
1008 bytes from 10.0.0.6: icmp_seq=161 ttl=64 time=1496 ms
1008 bytes from 10.0.0.6: icmp_seq=164 ttl=64 time=1460 ms
1008 bytes from 10.0.0.6: icmp_seq=166 ttl=64 time=1454 ms
1008 bytes from 10.0.0.6: icmp_seq=168 ttl=64 time=1438 ms
1008 bytes from 10.0.0.6: icmp_seq=169 ttl=64 time=1430 ms
1008 bytes from 10.0.0.6: icmp_seq=175 ttl=64 time=1312 ms
1008 bytes from 10.0.0.6: icmp_seq=178 ttl=64 time=1292 ms
1008 bytes from 10.0.0.6: icmp_seq=179 ttl=64 time=1290 ms
1008 bytes from 10.0.0.6: icmp_seq=180 ttl=64 time=1286 ms
1008 bytes from 10.0.0.6: icmp_seq=182 ttl=64 time=1272 ms
1008 bytes from 10.0.0.6: icmp_seq=183 ttl=64 time=1269 ms
1008 bytes from 10.0.0.6: icmp_seq=190 ttl=64 time=1210 ms
1008 bytes from 10.0.0.6: icmp_seq=192 ttl=64 time=1183 ms
1008 bytes from 10.0.0.6: icmp_seq=193 ttl=64 time=1174 ms
1008 bytes from 10.0.0.6: icmp_seq=195 ttl=64 time=1158 ms
1008 bytes from 10.0.0.6: icmp_seq=196 ttl=64 time=1168 ms
1008 bytes from 10.0.0.6: icmp_seq=197 ttl=64 time=1171 ms
1008 bytes from 10.0.0.6: icmp_seq=199 ttl=64 time=1171 ms
1008 bytes from 10.0.0.6: icmp_seq=200 ttl=64 time=1170 ms
1008 bytes from 10.0.0.6: icmp_seq=201 ttl=64 time=1167 ms
1008 bytes from 10.0.0.6: icmp_seq=203 ttl=64 time=1171 ms
1008 bytes from 10.0.0.6: icmp_seq=205 ttl=64 time=1168 ms
1008 bytes from 10.0.0.6: icmp_seq=206 ttl=64 time=1169 ms
1008 bytes from 10.0.0.6: icmp_seq=207 ttl=64 time=1170 ms
1008 bytes from 10.0.0.6: icmp_seq=208 ttl=64 time=1169 ms
1008 bytes from 10.0.0.6: icmp_seq=209 ttl=64 time=1166 ms
1008 bytes from 10.0.0.6: icmp_seq=210 ttl=64 time=1166 ms
1008 bytes from 10.0.0.6: icmp_seq=211 ttl=64 time=1174 ms
1008 bytes from 10.0.0.6: icmp_seq=212 ttl=64 time=1170 ms
1008 bytes from 10.0.0.6: icmp_seq=213 ttl=64 time=1169 ms
1008 bytes from 10.0.0.6: icmp_seq=215 ttl=64 time=1171 ms
1008 bytes from 10.0.0.6: icmp_seq=216 ttl=64 time=1170 ms
1008 bytes from 10.0.0.6: icmp_seq=217 ttl=64 time=1168 ms
