PING 10.0.0.6 (10.0.0.6) 1000(1028) bytes of data.
1008 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=2265 ms
1008 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=2250 ms
1008 bytes from 10.0.0.6: icmp_seq=6 ttl=64 time=2246 ms
1008 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=2250 ms
1008 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=2240 ms
1008 bytes from 10.0.0.6: icmp_seq=10 ttl=64 time=2236 ms
1008 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=2231 ms
1008 bytes from 10.0.0.6: icmp_seq=23 ttl=64 time=2185 ms
1008 bytes from 10.0.0.6: icmp_seq=24 ttl=64 time=2179 ms
1008 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=2178 ms
1008 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=2179 ms
1008 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=2174 ms
1008 bytes from 10.0.0.6: icmp_seq=29 ttl=64 time=2173 ms
1008 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=2166 ms
1008 bytes from 10.0.0.6: icmp_seq=32 ttl=64 time=2166 ms
1008 bytes from 10.0.0.6: icmp_seq=33 ttl=64 time=2169 ms
1008 bytes from 10.0.0.6: icmp_seq=38 ttl=64 time=2164 ms
1008 bytes from 10.0.0.6: icmp_seq=39 ttl=64 time=2174 ms
1008 bytes from 10.0.0.6: icmp_seq=41 ttl=64 time=2186 ms
1008 bytes from 10.0.0.6: icmp_seq=43 ttl=64 time=2225 ms
1008 bytes from 10.0.0.6: icmp_seq=44 ttl=64 time=2236 ms
1008 bytes from 10.0.0.6: icmp_seq=45 ttl=64 time=2243 ms
1008 bytes from 10.0.0.6: icmp_seq=46 ttl=64 time=2250 ms
1008 bytes from 10.0.0.6: icmp_seq=47 ttl=64 time=2248 ms
1008 bytes from 10.0.0.6: icmp_seq=49 ttl=64 time=2240 ms
1008 bytes from 10.0.0.6: icmp_seq=50 ttl=64 time=2239 ms
1008 bytes from 10.0.0.6: icmp_seq=53 ttl=64 time=2253 ms
1008 bytes from 10.0.0.6: icmp_seq=54 ttl=64 time=2133 ms
1008 bytes from 10.0.0.6: icmp_seq=55 ttl=64 time=2130 ms
1008 bytes from 10.0.0.6: icmp_seq=56 ttl=64 time=2122 ms
1008 bytes from 10.0.0.6: icmp_seq=57 ttl=64 time=2116 ms
1008 bytes from 10.0.0.6: icmp_seq=60 ttl=64 time=2102 ms
1008 bytes from 10.0.0.6: icmp_seq=61 ttl=64 time=2103 ms
1008 bytes from 10.0.0.6: icmp_seq=66 ttl=64 time=2103 ms
1008 bytes from 10.0.0.6: icmp_seq=67 ttl=64 time=2104 ms
1008 bytes from 10.0.0.6: icmp_seq=68 ttl=64 time=2100 ms
1008 bytes from 10.0.0.6: icmp_seq=72 ttl=64 time=2088 ms
