PING 10.0.0.9 (10.0.0.9) 1000(1028) bytes of data.
1008 bytes from 10.0.0.9: icmp_seq=5 ttl=64 time=2748 ms
1008 bytes from 10.0.0.9: icmp_seq=11 ttl=64 time=2709 ms
1008 bytes from 10.0.0.9: icmp_seq=18 ttl=64 time=2616 ms
1008 bytes from 10.0.0.9: icmp_seq=19 ttl=64 time=2610 ms
1008 bytes from 10.0.0.9: icmp_seq=24 ttl=64 time=2539 ms
1008 bytes from 10.0.0.9: icmp_seq=30 ttl=64 time=2451 ms
1008 bytes from 10.0.0.9: icmp_seq=34 ttl=64 time=2443 ms
1008 bytes from 10.0.0.9: icmp_seq=35 ttl=64 time=2443 ms
1008 bytes from 10.0.0.9: icmp_seq=36 ttl=64 time=2436 ms
1008 bytes from 10.0.0.9: icmp_seq=37 ttl=64 time=2431 ms
1008 bytes from 10.0.0.9: icmp_seq=39 ttl=64 time=2417 ms
1008 bytes from 10.0.0.9: icmp_seq=40 ttl=64 time=2401 ms
1008 bytes from 10.0.0.9: icmp_seq=46 ttl=64 time=2354 ms
1008 bytes from 10.0.0.9: icmp_seq=50 ttl=64 time=2342 ms
1008 bytes from 10.0.0.9: icmp_seq=51 ttl=64 time=2335 ms
1008 bytes from 10.0.0.9: icmp_seq=52 ttl=64 time=2332 ms
1008 bytes from 10.0.0.9: icmp_seq=54 ttl=64 time=2321 ms
1008 bytes from 10.0.0.9: icmp_seq=55 ttl=64 time=2327 ms
1008 bytes from 10.0.0.9: icmp_seq=56 ttl=64 time=2323 ms
1008 bytes from 10.0.0.9: icmp_seq=59 ttl=64 time=2298 ms
1008 bytes from 10.0.0.9: icmp_seq=60 ttl=64 time=2293 ms
1008 bytes from 10.0.0.9: icmp_seq=61 ttl=64 time=2287 ms
1008 bytes from 10.0.0.9: icmp_seq=62 ttl=64 time=2335 ms
1008 bytes from 10.0.0.9: icmp_seq=63 ttl=64 time=2329 ms
1008 bytes from 10.0.0.9: icmp_seq=64 ttl=64 time=2329 ms
1008 bytes from 10.0.0.9: icmp_seq=65 ttl=64 time=2329 ms
1008 bytes from 10.0.0.9: icmp_seq=66 ttl=64 time=2324 ms
1008 bytes from 10.0.0.9: icmp_seq=67 ttl=64 time=2326 ms
1008 bytes from 10.0.0.9: icmp_seq=69 ttl=64 time=2324 ms
1008 bytes from 10.0.0.9: icmp_seq=70 ttl=64 time=2328 ms
1008 bytes from 10.0.0.9: icmp_seq=71 ttl=64 time=2330 ms
1008 bytes from 10.0.0.9: icmp_seq=72 ttl=64 time=2333 ms
1008 bytes from 10.0.0.9: icmp_seq=73 ttl=64 time=2335 ms
1008 bytes from 10.0.0.9: icmp_seq=75 ttl=64 time=2326 ms
1008 bytes from 10.0.0.9: icmp_seq=77 ttl=64 time=2323 ms
1008 bytes from 10.0.0.9: icmp_seq=78 ttl=64 time=2211 ms
1008 bytes from 10.0.0.9: icmp_seq=80 ttl=64 time=2216 ms
1008 bytes from 10.0.0.9: icmp_seq=81 ttl=64 time=2214 ms
1008 bytes from 10.0.0.9: icmp_seq=83 ttl=64 time=2212 ms
1008 bytes from 10.0.0.9: icmp_seq=84 ttl=64 time=2217 ms
1008 bytes from 10.0.0.9: icmp_seq=85 ttl=64 time=2216 ms
1008 bytes from 10.0.0.9: icmp_seq=86 ttl=64 time=2212 ms
1008 bytes from 10.0.0.9: icmp_seq=87 ttl=64 time=2214 ms
1008 bytes from 10.0.0.9: icmp_seq=88 ttl=64 time=2215 ms
1008 bytes from 10.0.0.9: icmp_seq=89 ttl=64 time=2212 ms
1008 bytes from 10.0.0.9: icmp_seq=91 ttl=64 time=2217 ms
1008 bytes from 10.0.0.9: icmp_seq=92 ttl=64 time=2215 ms
1008 bytes from 10.0.0.9: icmp_seq=94 ttl=64 time=2216 ms
1008 bytes from 10.0.0.9: icmp_seq=95 ttl=64 time=2215 ms
1008 bytes from 10.0.0.9: icmp_seq=97 ttl=64 time=2211 ms
1008 bytes from 10.0.0.9: icmp_seq=98 ttl=64 time=2213 ms
1008 bytes from 10.0.0.9: icmp_seq=99 ttl=64 time=2209 ms
1008 bytes from 10.0.0.9: icmp_seq=102 ttl=64 time=2202 ms
1008 bytes from 10.0.0.9: icmp_seq=104 ttl=64 time=2205 ms
1008 bytes from 10.0.0.9: icmp_seq=106 ttl=64 time=2202 ms
1008 bytes from 10.0.0.9: icmp_seq=107 ttl=64 time=2208 ms
1008 bytes from 10.0.0.9: icmp_seq=108 ttl=64 time=2214 ms
1008 bytes from 10.0.0.9: icmp_seq=109 ttl=64 time=2217 ms
1008 bytes from 10.0.0.9: icmp_seq=110 ttl=64 time=2203 ms
1008 bytes from 10.0.0.9: icmp_seq=111 ttl=64 time=2205 ms
1008 bytes from 10.0.0.9: icmp_seq=113 ttl=64 time=2228 ms
1008 bytes from 10.0.0.9: icmp_seq=114 ttl=64 time=2280 ms
1008 bytes from 10.0.0.9: icmp_seq=128 ttl=64 time=2240 ms
1008 bytes from 10.0.0.9: icmp_seq=129 ttl=64 time=2237 ms
1008 bytes from 10.0.0.9: icmp_seq=130 ttl=64 time=2239 ms
1008 bytes from 10.0.0.9: icmp_seq=131 ttl=64 time=2240 ms
1008 bytes from 10.0.0.9: icmp_seq=132 ttl=64 time=2234 ms
1008 bytes from 10.0.0.9: icmp_seq=133 ttl=64 time=2236 ms
1008 bytes from 10.0.0.9: icmp_seq=135 ttl=64 time=2246 ms
1008 bytes from 10.0.0.9: icmp_seq=136 ttl=64 time=2240 ms
1008 bytes from 10.0.0.9: icmp_seq=137 ttl=64 time=2238 ms
1008 bytes from 10.0.0.9: icmp_seq=138 ttl=64 time=2252 ms
1008 bytes from 10.0.0.9: icmp_seq=139 ttl=64 time=2248 ms
1008 bytes from 10.0.0.9: icmp_seq=140 ttl=64 time=2255 ms
1008 bytes from 10.0.0.9: icmp_seq=142 ttl=64 time=2252 ms
1008 bytes from 10.0.0.9: icmp_seq=143 ttl=64 time=2259 ms
1008 bytes from 10.0.0.9: icmp_seq=144 ttl=64 time=2262 ms
1008 bytes from 10.0.0.9: icmp_seq=145 ttl=64 time=2257 ms
1008 bytes from 10.0.0.9: icmp_seq=146 ttl=64 time=2263 ms
1008 bytes from 10.0.0.9: icmp_seq=147 ttl=64 time=2257 ms
1008 bytes from 10.0.0.9: icmp_seq=148 ttl=64 time=2258 ms
1008 bytes from 10.0.0.9: icmp_seq=149 ttl=64 time=2257 ms
1008 bytes from 10.0.0.9: icmp_seq=150 ttl=64 time=2259 ms
1008 bytes from 10.0.0.9: icmp_seq=151 ttl=64 time=2255 ms
1008 bytes from 10.0.0.9: icmp_seq=152 ttl=64 time=2258 ms
1008 bytes from 10.0.0.9: icmp_seq=153 ttl=64 time=2258 ms
1008 bytes from 10.0.0.9: icmp_seq=154 ttl=64 time=2264 ms
1008 bytes from 10.0.0.9: icmp_seq=155 ttl=64 time=2268 ms
1008 bytes from 10.0.0.9: icmp_seq=157 ttl=64 time=2266 ms
1008 bytes from 10.0.0.9: icmp_seq=159 ttl=64 time=2267 ms
1008 bytes from 10.0.0.9: icmp_seq=160 ttl=64 time=2269 ms
1008 bytes from 10.0.0.9: icmp_seq=161 ttl=64 time=2265 ms
1008 bytes from 10.0.0.9: icmp_seq=162 ttl=64 time=2267 ms
1008 bytes from 10.0.0.9: icmp_seq=163 ttl=64 time=2266 ms
1008 bytes from 10.0.0.9: icmp_seq=164 ttl=64 time=2266 ms
1008 bytes from 10.0.0.9: icmp_seq=165 ttl=64 time=2265 ms
