PING 10.0.0.10 (10.0.0.10) 1000(1028) bytes of data.
1008 bytes from 10.0.0.10: icmp_seq=1 ttl=64 time=256 ms
1008 bytes from 10.0.0.10: icmp_seq=2 ttl=64 time=272 ms
1008 bytes from 10.0.0.10: icmp_seq=3 ttl=64 time=285 ms
1008 bytes from 10.0.0.10: icmp_seq=4 ttl=64 time=302 ms
1008 bytes from 10.0.0.10: icmp_seq=5 ttl=64 time=315 ms
1008 bytes from 10.0.0.10: icmp_seq=6 ttl=64 time=327 ms
1008 bytes from 10.0.0.10: icmp_seq=7 ttl=64 time=342 ms
1008 bytes from 10.0.0.10: icmp_seq=8 ttl=64 time=364 ms
1008 bytes from 10.0.0.10: icmp_seq=9 ttl=64 time=381 ms
1008 bytes from 10.0.0.10: icmp_seq=10 ttl=64 time=397 ms
1008 bytes from 10.0.0.10: icmp_seq=11 ttl=64 time=415 ms
1008 bytes from 10.0.0.10: icmp_seq=12 ttl=64 time=429 ms
1008 bytes from 10.0.0.10: icmp_seq=13 ttl=64 time=451 ms
1008 bytes from 10.0.0.10: icmp_seq=14 ttl=64 time=462 ms
1008 bytes from 10.0.0.10: icmp_seq=15 ttl=64 time=480 ms
1008 bytes from 10.0.0.10: icmp_seq=16 ttl=64 time=494 ms
1008 bytes from 10.0.0.10: icmp_seq=17 ttl=64 time=501 ms
1008 bytes from 10.0.0.10: icmp_seq=18 ttl=64 time=518 ms
1008 bytes from 10.0.0.10: icmp_seq=19 ttl=64 time=522 ms
1008 bytes from 10.0.0.10: icmp_seq=20 ttl=64 time=533 ms
1008 bytes from 10.0.0.10: icmp_seq=21 ttl=64 time=549 ms
1008 bytes from 10.0.0.10: icmp_seq=22 ttl=64 time=560 ms
1008 bytes from 10.0.0.10: icmp_seq=23 ttl=64 time=576 ms
1008 bytes from 10.0.0.10: icmp_seq=24 ttl=64 time=597 ms
1008 bytes from 10.0.0.10: icmp_seq=25 ttl=64 time=608 ms
1008 bytes from 10.0.0.10: icmp_seq=26 ttl=64 time=624 ms
